/* This file is the Observation log for Macros that were executed by the 
/* NEAR XGRS instrument system.  A description of each record can be found
/* in the XGRS_COMMAND_DESC.TXT and XGRS_INST_USER_GUIDE4.TXT document.
/*
XGRS_Command_#ID,XGRS_Command,XGRS_Mode,YEAR,DOY,HH:MM:SS,PARM  #1,PARM #2,PARM #3,PARM #4,PARM #4,PARM #5,PARM #6
XGRQ_10,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,141,11:07:00,,,,,
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,15:42.8,510,4,3,0,0
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,03:29.8,510,4,0,0,0
XGRQ_11,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,142,58:59.8,,,,,
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,3:45:15,510,4,-1,0,0
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,6:13:30,510,4,5,0,0
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,8:08:30,510,5,12.3,-6.1,5.2
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,9:18:30,510,4,5,0,0
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,10:08:30,510,5,-6.6642,4.1642,4.1783
XGRQ_12,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,142,11:07:00,,,,,
XGRQ_13,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,142,15:46.8,510,4,5,0,0
XGRQ_13,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,143,58:59.8,,,,,
XGRQ_14,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,3:45:15,510,4,5,0,0
XGRQ_14,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,7:33:30,510,4,1,0,0
XGRQ_14,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,8:53:30,510,4,-1,0,0
XGRQ_14,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,143,11:07:00,,,,,
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,20:01:30,510,4,5,0,0
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,21:43:30,510,5,-15.97,-1.03,2.92
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,143,23:28:30,510,4,5,0,0
XGRQ_01,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,144,3:59:00,,,,,
XGRQ_01a,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,144,4:43:15,510,4,5,0,0
XGRQ_01a,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,144,12:07:00,,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,144,13:10:00,21600,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,144,13:10:00,21600,MG,FORWARD,,
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,144,06:55.0,510,5,-4.0479,-2.5294,3.4679
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,145,08:30.0,510,5,2.8035,3.462,4.4548
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,145,58:30.0,510,4,5,0,0
XGRQ_02,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,145,59:00.0,,,,,
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,145,4:43:15,510,4,5,0,0
XGRQ_03,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,145,10:59:00,,,,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,145,12:10:00,21600,AL,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,145,12:10:00,21600,AL,FORWARD,,
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,145,06:58.8,510,4,-2,0,0
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,18:29.8,510,4,5,0,0
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,58:29.8,510,5,12.3,-6.1,5.2
XGRQ_04,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,146,58:59.8,,,,,
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,3:43:15,510,4,5,0,0
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,4:43:30,510,5,12.4931,-2.2029,4.6173
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,6:38:30,510,5,0.6362,-2.7558,3.3706
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,7:43:30,510,5,-15.97,-1.03,2.92
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,8:58:30,510,4,5,0,0
XGRQ_05,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,146,11:07:00,,,,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,146,12:10:00,21600,CLEAR,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,146,12:10:00,21600,CLEAR,FORWARD,,
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,146,07:02.8,510,4,3,0,0
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,13:29.8,510,4,-1,0,0
XGRQ_06,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,147,58:59.8,,,,,
XGRQ_06a,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,4:43:15,510,4,-1,0,0
XGRQ_06a,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,5:48:30,510,4,3,0,0
XGRQ_06a,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,9:53:30,510,5,2.8035,3.462,4.4548
XGRQ_06a,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,11:18:30,510,5,-6.66,4.16,4.18
XGRQ_06a,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,147,12:07:00,,,,,
XGRQ_07,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,147,07:07.0,510,4,5,0,0
XGRQ_07,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,148,59:00.0,,,,,
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,148,4:43:15,510,4,3,0,0
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,148,8:28:30,510,4,-1,0,0
XGRQ_08,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,148,11:07:00,,,,,
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,148,07:10.4,510,4,5,0,0
XGRQ_09,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,149,59:00.4,,,,,
