125835719 175   1.000000   1.000000   1.000000   1.000000   1.000000   1.001925   1.001861   1.002234   1.001964   1.002147   1.001996   1.002383   1.001719   1.001434   1.000708   0.999065   0.994736   0.992316   0.995786   1.010423   1.006202   1.000928   1.000323   0.999403   0.999859   1.003043   1.004126   1.001846   0.999013   0.992094   0.967764   0.922552   0.244144   1.083731   1.116046   1.091335   1.020658   1.010539   1.014526   1.014905   1.013918   1.014007   1.011478   1.008037   1.009777   1.012790   1.010255   1.007368   1.007867   1.008965   1.007494   1.004691   1.002558   1.001779   1.001363   1.001929   0.997655   1.002044   0.998792   1.000956   1.000310   1.000206   0.999744   1.023776
125835788 174   1.000000   1.000000   1.000000   1.000000   1.000000   0.999142   0.999170   0.999003   0.999122   0.999041   0.999107   0.998935   0.999229   0.999357   0.999679   1.000415   1.002360   0.997009   0.998677   1.005727   1.003697   1.001156   0.999853   1.000266   1.000062   0.998644   0.998161   0.999175   1.000441   1.003558   1.014856   1.037352   0.758020   0.965260   0.953169   0.962357   0.990931   0.995335   0.993594   0.993429   0.993859   0.993822   0.994925   0.996437   0.995674   0.994355   0.995465   0.996735   0.996518   0.996035   0.996683   0.997923   0.998872   0.999219   0.999404   0.999154   1.001060   0.999108   1.000556   0.999591   0.999877   0.999933   1.000122   0.989701
125835805 175   1.000000   1.000000   1.000000   1.000000   1.000000   1.005319   1.005142   1.006173   1.005426   1.005933   1.005516   1.006586   1.004750   1.003963   1.001954   0.997419   0.985490   0.986347   0.992134   1.016545   1.009505   1.000710   1.000893   0.998351   0.999611   1.008411   1.011409   1.005100   0.997275   0.978226   0.911947   0.791828   0.160977   1.237355   1.332067   1.259491   1.057431   1.029204   1.040304   1.041360   1.038610   1.038857   1.031815   1.022253   1.027085   1.035466   1.028413   1.020396   1.021779   1.024829   1.020746   1.012975   1.007070   1.004915   1.003766   1.005330   0.993528   1.005649   0.996666   1.002640   1.000856   1.000570   0.999293   1.066166
125835874 174   1.000000   1.000000   1.000000   1.000000   1.000000   1.005319   1.005142   1.006173   1.005426   1.005933   1.005516   1.006586   1.004750   1.003963   1.001954   0.997419   0.985490   0.986347   0.992134   1.016545   1.009505   1.000710   1.000893   0.998351   0.999611   1.008411   1.011409   1.005100   0.997275   0.978226   0.911947   0.791828   0.160977   1.237355   1.332067   1.259491   1.057431   1.029204   1.040304   1.041360   1.038610   1.038857   1.031815   1.022253   1.027085   1.035466   1.028413   1.020396   1.021779   1.024829   1.020746   1.012975   1.007070   1.004915   1.003766   1.005330   0.993528   1.005649   0.996666   1.002640   1.000856   1.000570   0.999293   1.066166
125835891 175   1.000000   1.000000   1.000000   1.000000   1.000000   1.002283   1.002207   1.002650   1.002329   1.002547   1.002368   1.002827   1.002040   1.001701   1.000839   0.998891   0.993758   0.990028   0.994574   1.013749   1.008219   1.001311   1.000383   0.999291   0.999833   1.003610   1.004895   1.002189   0.998829   0.990626   0.961819   0.908462   0.156573   1.099664   1.138305   1.108747   1.024525   1.012507   1.017241   1.017690   1.016519   1.016624   1.013621   1.009537   1.011601   1.015179   1.012169   1.008742   1.009334   1.010638   1.008892   1.005566   1.003034   1.002110   1.001617   1.002288   0.997218   1.002425   0.998567   1.001134   1.000367   1.000245   0.999696   1.028231
125836593 156   1.000000   1.000000   1.000000   1.000000   1.000000   0.996312   0.996382   0.995544   0.996016   0.995718   0.995862   0.995121   0.996278   0.996910   0.998179   1.001574   1.010105   1.005592   1.003508   0.994446   0.996957   1.000237   0.999149   1.001017   1.000191   0.994041   0.991816   0.996223   1.001886   1.015631   1.067470   1.180817   1.448883   0.856776   0.813432   0.846496   0.960113   0.979679   0.972258   0.971532   0.973408   0.973322   0.977995   0.984706   0.981535   0.975828   0.980671   0.986278   0.985480   0.983403   0.986286   0.991858   0.996108   0.997658   0.998462   0.997563   1.005435   0.997798   1.003766   0.999689   1.000746   1.001886   1.001304   0.963883
125836610 157   1.000000   1.000000   1.000000   1.000000   1.000000   1.001929   1.001891   1.002326   1.002078   1.002236   1.002155   1.002545   1.001933   1.001604   1.000937   0.999175   0.994785   0.992156   0.995630   1.010873   1.006614   1.001094   1.000437   0.999466   0.999898   1.003119   1.004290   1.001968   0.999019   0.991987   0.967103   0.920328   0.231727   1.086888   1.119285   1.094295   1.021590   1.010793   1.014848   1.015248   1.014216   1.014266   1.011710   1.008090   1.009801   1.012900   1.010269   1.007256   1.007688   1.008804   1.007260   1.004301   1.002066   1.001254   1.000834   1.001311   0.997208   1.001202   0.998087   1.000209   0.999652   0.999088   0.999349   1.019772
125836713 156   1.000000   1.000000   1.000000   1.000000   1.000000   0.996154   0.996226   0.995354   0.995845   0.995535   0.995685   0.994912   0.996119   0.996778   0.998100   1.001642   1.010546   1.005178   1.003322   0.995244   0.997484   1.000408   0.999112   1.001061   1.000199   0.993786   0.991467   0.996061   1.001967   1.016319   1.070638   1.190497   1.381285   0.851746   0.807320   0.841191   0.958484   0.978826   0.971105   0.970350   0.972301   0.972213   0.977074   0.984060   0.980758   0.974820   0.979859   0.985697   0.984866   0.982703   0.985705   0.991511   0.995942   0.997557   0.998396   0.997458   1.005671   0.997704   1.003929   0.999675   1.000778   1.001968   1.001361   0.962399
125836730 157   1.000000   1.000000   1.000000   1.000000   1.000000   1.002129   1.002087   1.002568   1.002293   1.002467   1.002379   1.002809   1.002134   1.001771   1.001034   0.999089   0.994245   0.991726   0.995374   1.011383   1.006910   1.001113   1.000482   0.999411   0.999888   1.003443   1.004735   1.002172   0.998917   0.991158   0.963725   0.912259   0.182223   1.096093   1.132019   1.104301   1.023839   1.011914   1.016393   1.016834   1.015695   1.015749   1.012926   1.008930   1.010819   1.014241   1.011336   1.008009   1.008486   1.009718   1.008013   1.004747   1.002280   1.001384   1.000921   1.001446   0.996919   1.001327   0.997889   1.000230   0.999616   0.998993   0.999282   1.021831
125836833 156   1.000000   1.000000   1.000000   1.000000   1.000000   0.996247   0.996319   0.995467   0.995946   0.995644   0.995790   0.995036   0.996214   0.996857   0.998147   1.001602   1.010288   1.004439   1.002926   0.996329   0.998160   1.000548   0.999134   1.001035   1.000194   0.993937   0.991676   0.996157   1.001919   1.015918   1.068886   1.185668   1.290787   0.855234   0.811792   0.844916   0.959488   0.979341   0.971807   0.971070   0.972974   0.972888   0.977631   0.984448   0.981226   0.975431   0.980348   0.986046   0.985234   0.983124   0.986053   0.991718   0.996041   0.997617   0.998435   0.997521   1.005532   0.997760   1.003832   0.999683   1.000759   1.001919   1.001327   0.963310
