      13.7162    0.0700826
      18.8111    0.0800472
      23.3040    0.0900153
      28.4091    0.0600192
      31.8738     0.120278
      36.4793     0.100494
      41.9250    0.0808192
      47.9056     0.110474
      51.7471     0.150137
      56.6175     0.150046
      59.2124     0.150032
      65.6157     0.200048
      68.4417     0.170104
      70.8654     0.200468
      37.6326     0.111279
      78.9649     0.243281
      77.9565     0.201178
      73.5703     0.200464
      70.0090     0.180281
      68.0537     0.170134
      77.6396     0.130066
      84.7593     0.170119
      216.738     0.450702
      216.386     0.421726
      207.661     0.487181
      202.603     0.470175
      212.205     0.420546
      213.900     0.328404
      215.107     0.305341
      205.920     0.359821
      171.600     0.346256
      127.754     0.293106
     0.300000      1.00000
      1.30000    0.0900000
      12.9000     0.280000
      55.1124     0.110627
      112.704     0.290267
      145.355     0.510194
      163.242     0.490127
      192.985     0.430189
      222.498     0.520697
      249.897     0.682999
      281.209     0.709969
      339.500      1.11105
      363.803      1.16698
      377.828     0.939030
      399.352      1.98009
      438.529      1.02287
      439.618      1.12132
      438.942      1.34105
      452.367      1.13067
      493.091      1.67099
      497.944      1.76051
      519.866      1.71055
      499.879      2.36227
      482.853      1.98556
      388.819      6.03912
      427.351      4.04880
      366.872      6.18672
      316.313      2.37263
      219.601      6.43467
      101.536      4.33361
      74.0309      7.00608
      76.7406     0.725409
