Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.    IDs,Filters,Est.  comp.,Mbits,P/B (hrs @ 8.8 kb/s),P/B (hrs @ 17.6 kb/s),P/B (hrs @ 26.4 kb/s),week,Target,Description,Status
NIS Feature 2x2 111,,MSI,20-Apr,111,16:00,1:05,17:05,,,360,5,,,0.41,0.0,0.0,0.0,00108,,5x3 mosaics (5sp + 2r + 2d) calint=5,done
MSI_LonScan_111,,MSI,20-Apr,111,17:10,5:45,22:55,,8,224,18,4,2.6,133.52,4.68,2.33,1.56,00108,Eros,Continuous 1x4 mosaics,done
NIS_LonScan_111,,MSI,20-Apr,111,17:10,5:45,22:55,,8,3852,3,,,4.41,0.2,0.1,0.1,00108,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Opnav 111c KD,,NAV,20-Apr,111,22:55,0:26,23:21,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_North_2x3s_111,,MSI,20-Apr,111,23:30,5:45,5:15,,8,216,18,4,2.6,128.75,4.52,2.25,1.51,00108,Eros,Continuous targetted 2x3 mosaic sets ,done
NIS_North_2x3s_111,,MSI,20-Apr,111,23:30,5:45,5:15,,,2160,6,,,2.47,0.1,0.0,0.0,00108,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Opnav 112a KD,,NAV,21-Apr,112,5:15,0:26,5:41,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_LonScan_111,,MSI,21-Apr,112,5:45,5:45,11:30,,8,206,18,4,2.6,122.79,4.31,2.15,1.44,00108,Eros,Continuous 1x4 mosaics,done
NIS_LonScan_111,,MSI,21-Apr,112,5:45,5:45,11:30,,,3852,3,,,4.41,0.2,0.1,0.1,00108,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Star Calibration 112,,NAV,21-Apr,112,11:30,0:30,12:00,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00108,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 112b KD,,NAV,21-Apr,112,13:40,0:26,14:06,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,21-Apr,112,14:10,8:50,23:00,,,,,,,516.85,18.13,9.03,6.05,,,,
Opnav 112c KD,,NAV,21-Apr,112,23:01,0:26,23:27,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
NIS Cal Target O4,,NIS,21-Apr,112,23:40,1:00,0:40,,,100,,,,0.11,0.0,0.0,0.0,00108,Cal target,NIS_Caltarg_O4: Standard NIS_CAL,done
MSI Color 3x2 113,,MSI,22-Apr,113,1:00,0:20,1:20,,12,54,"24, 15","1, 3, 4, 6",1.8,46.49,1.63,0.81,0.54,00108,Eros,2 targetted 3x2 start-stop mosaics,done
MSI Feature Color 113,,MSI,22-Apr,113,1:30,0:50,2:20,,12,135,"24, 15","1, 3, 4, 6",1.8,116.24,4.08,2.03,1.36,00108,Eros,Targetted 2x2 start-stop mosaics with center frame,done
Opnav 113a KD,,NAV,22-Apr,113,2:55,0:26,3:21,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,22-Apr,113,3:25,6:15,9:40,,,,,,,172.76,6.06,3.02,2.02,,,,
Opnav 113b KD,,NAV,22-Apr,113,9:41,0:26,10:07,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,22-Apr,113,11:00,3:00,14:00,,,,,,,4.96,0.17,0.09,0.06,,,,
OCM 5,,,22-Apr,113,17:50,,,,,,,,,,,,,,,,
Opnav 113c Post Burn KL3A,,NAV,22-Apr,113,19:00,0:16,19:16,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00108,Eros,3x4 mosaic,done
34 m track (8.8 kb/s),43,,22-Apr,113,20:00,2:10,22:10,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav 113c Post Burn KL3B,,NAV,22-Apr,113,22:00,0:16,22:16,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00108,Eros,3x4 mosaic,done
34 m track (8.8 kb/s),43,,22-Apr,113,23:00,3:00,2:00,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav 114a KD,,NAV,22-Apr,113,1:25,0:26,1:51,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI High North Color 2x2 s 114,,MSI,23-Apr,114,3:05,0:55,4:00,,12,144,"24, 15","1, 3, 4, 6",1.8,123.98,4.35,2.17,1.45,00108,Eros,Targetted 2x2 start-stop mosaics,done
MSI High North Color 2x3 s 114,,MSI,23-Apr,114,5:30,0:50,6:20,,12,216,"24, 15","1, 3, 4, 6",1.8,185.98,6.53,3.25,2.18,00108,Eros,Targetted 2x3 start-stop mosaics,done
MSI_North_2x3s_114,,MSI,23-Apr,114,8:00,4:45,12:45,,8,180,18,4,2.6,107.29,3.76,1.87,1.26,00108,Eros,Continuous targetted 2x3 mosaic sets ,done
NIS_North_2x3s_114,,MSI,23-Apr,114,8:00,4:45,12:45,,,1800,6,,,2.06,0.1,0.0,0.0,00108,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Star Calibration 114,,NAV,23-Apr,114,13:00,0:30,13:30,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00108,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 114b KD,,NAV,23-Apr,114,13:30,0:26,13:56,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,23-Apr,114,14:00,8:55,22:55,,,,,,,431.62,15.14,7.54,5.05,,,,
Opnav 114c KD,,NAV,23-Apr,114,22:56,0:26,23:22,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_North_2x3s_115,,MSI,24-Apr,115,1:50,4:40,6:30,,8,174,18,4,2.6,103.72,3.64,1.81,1.21,00108,Eros,Continuous targetted 2x3 mosaic sets ,done
NIS_North_2x3s_115,,MSI,24-Apr,115,1:50,4:40,6:30,,,1740,6,,,1.99,0.1,0.0,0.0,00108,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Opnav 115a KD,,NAV,24-Apr,115,6:30,0:26,6:56,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI Feature Track 115,,MSI,24-Apr,115,8:00,1:50,9:50,,8,420,18,4,3.6,180.81,6.34,3.16,2.12,00108,Eros,Filter 4 every 14 seconds centered on 5.5 km crater (TABLE 6 + FAST),done
NIS Feature Track 115,,MSI,24-Apr,115,8:30,1:10,9:40,,,660,7,,,0.76,0.0,0.0,0.0,00108,,MP 40-105 (5sp + 2r + 2d) calint=65,done
Star Calibration 115,,NAV,24-Apr,115,9:55,0:30,10:25,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00108,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 115b KD,,NAV,24-Apr,115,13:25,0:26,13:51,T,12,8,27,4,2.5,9.92,0.35,0.17,0.12,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,24-Apr,115,13:55,7:20,21:15,,,,,,,309.50,10.86,5.41,3.62,,,,
Total MSI images,,,,,,,,,,3517,,,,,,,,,,,
Opnav 115c_KD,,NAV,24-Apr,115,21:45,00:26,22:11,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_116A,,NLR,25-Apr,116,00:40,01:02,01:42,,8,240,18,4,2.6,143.06,5.02,2.50,1.67,00115,Eros,1 filter 4 image every 13 seconds,done
MSI_RideNLR_116B,,NLR,25-Apr,116,02:45,02:05,04:50,,8,160,18,4,2.6,95.37,3.35,1.67,1.12,00115,Eros,1 filter 4 image every 43 seconds,done
MSI_RideNLR_116C,,NLR,25-Apr,116,04:50,01:22,06:12,,8,120,18,4,2.6,71.53,2.51,1.25,0.84,00115,Eros,1 filter 4 image every 36 seconds,done
NIS_RideNLR_116,,NLR,24-Apr,116,00:45,05:11,05:56,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
Opnav 116a KD_starcal,,NAV,25-Apr,116,06:15,00:42,06:57,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,Eros,2x2 pointed to a landmark,done
MSI_North_2x3s_116A,,MSI,25-Apr,116,07:00,02:45,09:45,,8,109,18,4,2.6,64.97,2.28,1.14,0.76,00115,Eros,1 filter 4 image every 88 seconds during looping 2x3 mosaic,done
NIS_North_2x3s_116A,,MSI,25-Apr,116,07:00,02:42,09:42,,,1080,4,,,1.24,0.0,0.0,0.0,00115,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
MSI Feature Color 116,,MSI,25-Apr,116,09:45,00:30,10:15,,12,45,"24, 15","1, 3, 4, 6",1.8,38.75,1.36,0.68,0.45,00115,Eros,Targetted 2x2 start-stop mosaics with center frame,done
MSI_North_2x3s_116B,,MSI,25-Apr,116,10:15,01:44,11:59,,8,67,18,4,2.6,39.94,1.40,0.70,0.47,00115,Eros,1 filter 4 image every 88 seconds during looping 2x3 mosaic,done
NIS_North_2x3s_116B,,MSI,25-Apr,116,10:15,01:41,11:56,,,660,4,,,0.76,0.0,0.0,0.0,00115,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Opnav 116b KD,,NAV,25-Apr,116,12:00,00:26,12:26,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,25-Apr,116,12:38,08:13,20:51,,, ,,,,470.30,16.50,8.22,5.50,,,,
Opnav 116c KD,,NAV,25-Apr,116,20:51,00:26,21:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
NIS_RideNLR_117,,NLR,25-Apr,116,23:45,05:11,04:56,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 45-95 (8sp + 2r + 5d) calint=50,done
MSI_RideNLR_117A,,NLR,26-Apr,117,01:10,01:10,02:20,,8,170,18,4,2.6,101.33,3.56,1.77,1.19,00115,Eros,1 filter 4 image every 21 seconds,done
Opnav 117a KD_starcal,,NAV,26-Apr,117,05:30,00:42,06:12,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_Flyover_117,,MSI,26-Apr,117,06:15,05:41,11:56,,8,630,1,4,3.6,271.22,9.52,4.74,3.17,00115,Eros,1 filter 4 image every 27 or 29 seconds,done
NIS_Flyover_117,,MSI,26-Apr,117,06:15,05:40,11:55,,,3300,8,,,3.78,0.1,0.1,0.0,00115,Eros,MP 40-105 (5sp + 2r + 2d) calint=65,done
Opnav 117b KD,,NAV,26-Apr,117,12:00,00:26,12:26,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,26-Apr,117,12:38,06:10,18:48,,,,,,,395.98,13.89,6.92,4.64,,,,
Opnav 117c KD,,NAV,26-Apr,117,20:51,00:26,21:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_FeatureTrack_117,,MSI,26-Apr,117,23:43,01:30,01:13,,8,100,30,4,3,51.66,1.81,0.90,0.60,00115,Eros,1 clean filter 4 image every 39 seconds (clean done with all manual exposure),done
NIS_FeatureTrack_117,,MSI,26-Apr,117,23:43,00:58,00:41,,,208,10,,,0.24,0.0,0.0,0.0,00115,Eros,MP 67-92 (16sp + 2r + 8d) calint=25,done
MSI_LowEmissMaps_118A,,MSI,27-Apr,118,00:58,01:15,02:13,,8,80,18,4,2.6,47.69,1.67,0.83,0.56,00115,Eros,Mosaics of low emission areas (filter4),done
NIS_LowEmissMaps_118A,,MSI,27-Apr,118,00:58,01:10,02:08,,,360,4,,,0.41,0.0,0.0,0.0,00115,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
MSI Feature Color 118,,MSI,27-Apr,118,02:13,00:30,02:43,,12,45,"24, 15","1, 3, 4, 6",1.8,38.75,1.36,0.68,0.45,00115,Eros,Targetted 2x2 start-stop mosaics with center frame,done
MSI_LowEmissMaps_118B,,MSI,27-Apr,118,02:31,00:53,03:24,,8,36,18,4,2.6,21.46,0.75,0.37,0.25,00115,Eros,Mosaics of low emission areas (filter4),done
NIS_LowEmissMaps_118B,,MSI,27-Apr,118,02:31,00:54,03:25,,,648,"5,7",,,0.74,0.0,0.0,0.0,00115,Eros,"7x23 mosaics (2sp+0r+0d), alt. w/ one close shutter dark (10sp+0r+0d)",done
Opnav 118a KD_starcal,,NAV,27-Apr,118,03:25,00:42,04:07,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_LowEmissMaps_118C,,MSI,27-Apr,118,04:10,02:04,06:14,,8,76,18,4,2.6,45.30,1.59,0.79,0.53,00115,Eros,Mosaics of low emission areas (filter4),done
NIS_LowEmissMaps_118C,,MSI,27-Apr,118,04:10,02:04,06:14,,,1008,"5,7,4",,,1.15,0.0,0.0,0.0,00115,Eros,"7x23 mosaics (2sp+0r+0d) alt. w/ one close shutter dk (10sp+0r+0d), plus  5x5 mosaics (6sp + 2r + 3d) calint=5",done
MSI_RideNLR_118A,,NLR,27-Apr,118,07:00,02:06,09:06,,8,178,18,4,2.6,106.10,3.72,1.85,1.24,00115,Eros,1 filter 4 image every 39 seconds,done
MSI_RideNLR_118B,,NLR,27-Apr,118,09:20,02:30,11:50,,8,195,18,4,2.6,116.24,4.08,2.03,1.36,00115,Eros,1 filter 4 image every 43 seconds,done
NIS_RideNLR_118,,NLR,27-Apr,118,06:15,05:11,11:26,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
Opnav 118b KD,,NAV,27-Apr,118,12:01,00:26,12:27,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,27-Apr,118,12:38,08:00,20:38,,,,,,,449.39,15.77,7.85,5.26,,,,
Opnav 118c KD,,NAV,27-Apr,118,20:51,00:26,21:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_FeatureTrack_118,,MSI,27-Apr,118,23:45,05:44,05:29,,8,452,18,4,3,233.50,8.19,4.08,2.73,00115,Eros,"4 targets, image delta varies",done
NIS_FeatureTrack_118,,MSI,27-Apr,118,23:45,05:40,05:25,,,3300,8,,,3.78,0.1,0.1,0.0,00115,Eros,MP 40-105 (5sp + 2r + 2d) calint=65,done
Opnav 119a KD_starcal,,NAV,28-Apr,119,05:30,00:42,06:12,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_119A,,NLR,28-Apr,119,06:15,00:42,06:57,,8,120,18,4,2.6,71.53,2.51,1.25,0.84,00115,Eros,1 filter 4 image every 16 seconds,done
MSI_RideNLR_119B,,NLR,28-Apr,119,08:50,00:42,09:32,,8,220,18,4,2.6,131.14,4.60,2.29,1.53,00115,Eros,1 filter 4 image every 16 seconds,done
NIS_RideNLR_119,,NLR,28-Apr,119,06:15,05:11,11:26,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
Opnav 119b KD,,NAV,28-Apr,119,12:01,00:26,12:27,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,28-Apr,119,12:38,08:00,20:38,,,,,,,459.60,16.13,8.03,5.38,,,,
Opnav 119c KD,,NAV,28-Apr,119,21:51,00:26,22:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_LowEmissMaps_119,,MSI,28-Apr,119,23:45,05:45,05:30,,8,32,18,4,2.6,19.07,0.67,0.33,0.22,00115,Eros,Mosaics of low emission areas (filter4),done
NIS_LowEmissMaps_119,,MSI,28-Apr,119,23:45,02:04,01:49,,,3540,"6,7",,,4.06,0.1,0.1,0.0,00115,Eros,"7x42 mosaics (2sp + 0r + 0d) ,alt. w/ close shutter dark (10sp+0r+0d).",done
Opnav 120a KD_starcal,,NAV,29-Apr,120,05:30,00:42,06:12,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_120A,,NLR,29-Apr,120,06:30,01:57,08:27,,8,168,18,4,2.6,100.14,3.51,1.75,1.17,00115,Eros,1 filter 4 image every 38 seconds,done
MSI_RideNLR_120B,,NLR,29-Apr,120,09:10,01:47,10:57,,8,152,18,4,2.6,90.60,3.18,1.58,1.06,00115,Eros,1 filter 4 image every 38 seconds,done
NIS_RideNLR_120,,NLR,28-Apr,120,06:15,05:11,11:26,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
Opnav 120b KD,,NAV,29-Apr,120,12:01,00:26,12:27,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,29-Apr,120,12:38,08:00,20:38,,,,,,,233.52,8.19,4.08,2.73,,,,
Opnav 120c KD,,NAV,29-Apr,120,20:51,00:26,21:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_North_2x3s_120,,MSI,29-Apr,120,23:45,03:59,03:44,,8,150,18,4,2.6,89.41,3.14,1.56,1.05,00115,Eros,1 filter 4 image every 88 seconds during looping 2x3 mosaic,done
NIS_North_2x3s_120,,MSI,29-Apr,120,23:45,01:41,01:26,,,1440,4,,,1.65,0.1,0.0,0.0,00115,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Opnav 121a KD_starcal,,NAV,29-Apr,120,03:45,00:42,04:27,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_121A,,NLR,30-Apr,121,04:30,02:37,07:07,,8,45,1,4,3.6,19.37,0.68,0.34,0.23,00115,Eros,1 filter 4 image every 195 seconds,done
MSI_RideNLR_121B,,NLR,30-Apr,121,07:40,00:51,08:31,,8,15,1,4,3.6,6.46,0.23,0.11,0.08,00115,Eros,1 filter 4 image every 166 seconds,done
NIS_RideNLR_121,,NLR,30-Apr,121,04:30,03:38,08:08,,,1377,9,,,1.58,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
70 m track (26.4 kb/s),43,,30-Apr,121,10:00,04:00,14:00,,,,,,,130.87,4.59,2.29,1.53,,,,
OCM 6,,,30-Apr,121,16:10,,,,,,,,,,,,,,,,
Opnav 121b Post Burn KL3A,,NAV,30-Apr,121,18:25,00:22,18:47,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00115,Eros,3x4 mosaic,done
70 m track (26.4 kb/s),43,,30-Apr,121,19:20,02:10,21:30,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav 121c Post Burn KL3B,,NAV,30-Apr,121,21:25,00:22,21:47,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00115,Eros,3x4 mosaic,done
70 m track (26.4 kb/s),43,,30-Apr,121,22:20,01:30,23:50,,,,,,,14.88,0.52,0.26,0.17,,,,
MSI_FeatureTrack_121,,MSI,30-Apr,121,23:45,05:37,05:22,,8,183,18,4,2.6,109.08,3.83,1.91,1.28,00115,Eros,"One feature,  1 filter 4 image ev. 28Sec",done
NIS_FeatureTrack_121,,MSI,30-Apr,121,23:45,05:40,05:25,,,3300,8,,,3.78,0.1,0.1,0.0,00115,Eros,MP 40-105 (5sp + 2r + 2d) calint=65,done
Opnav 122a KD_starcal,,NAV,01-May,122,05:30,00:42,06:12,F,12,4,29,0,2.5,2.48,0.09,0.04,0.03,00115,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
,,, , , ,, ,,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_122A,,NLR,01-May,122,06:15,01:37,07:52,,8,185,18,4,2.6,110.27,3.87,1.93,1.29,00115,Eros,1 filter 4 image every 28 seconds,done
MSI_RideNLR_122B,,NLR,01-May,122,08:20,03:25,11:45,,8,417,18,4,2.6,248.56,8.72,4.34,2.91,00115,Eros,1 filter 4 image every 28 seconds,done
NIS_RideNLR_122,,NLR,01-May,122,06:15,05:11,11:26,,,2000,3,,,2.29,0.1,0.0,0.0,00115,Eros,MP 50-100 (8sp + 2r + 5d) calint=50,done
Opnav 122b KD,,NAV,01-May,122,12:01,00:26,12:27,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00115,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,01-May,122,12:38,08:00,20:38,,,,,,,486.39,17.07,8.50,5.69,,,,
Total MSI images,,,,,,,,,,4586,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total  images taken in 100 km orbit,,,,,,,,,,14414,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total  spectra taken in 100 km orbit,,,,,,,,,,75911,,,,,,,,,,,
