Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.    IDs,Filters,Est.  comp.,Mbits,P/B (hrs @ 8.8 kb/s),P/B (hrs @ 17.6 kb/s),P/B (hrs @ 26.4 kb/s),week,Target,Description,Status
Daily Global 99,,NAV,08-Apr,099,06:32,00:30,07:02,,8,12,18,4,2.6,7.15,0.3,0.1,0.1,00094,Eros,3x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 99,,NAV,08-Apr,099,06:32,00:30,07:02,,,70,8,,,0.08,0.0,0.0,0.0,00094,Eros,7x4 mosaics during above slew,done
Star Calibration 099,,NAV,08-Apr,099,07:04,00:30,07:34,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Canopus Calibration 7, ,MSI,08-Apr,099,07:36,04:20,11:56, ,12,700,"4,5,6, 3,11","2,3,4,1,5",2.5,433.95,15.2,7.6,5.1,00094,Canopus,"MSI_CanCal_7: 140 images slewing across 30x30 pixels viewing Canopus, repeat (FAST)",done
Opnav 99a KD,,NAV,08-Apr,099,14:20,0:28,14:48,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 40008, 30006",done
70 m track (26.4 kb/s),43,,08-Apr,099,14:45,8:00,22:45,,,,,,,453.48,15.91,7.94,5.31,,,,
Star Calibration 100,,NAV,08-Apr,099,22:21,00:30,22:51,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
EquatorialLon 4,,MSI,08-Apr,099,23:55,4:20,4:15,,8,434,18,4,2.5,269.05,9.44,4.70,3.15,00094,Eros,1 filter 4 image every 83 seconds,done
MSI_Ride_100,,NLR,09-Apr,100,05:55,5:20,11:15,,8,150,1,4,2.8,83.03,2.91,1.45,0.97,00094,Eros,1 filter 4 image every 125 seconds,done
Daily Global 100,,NAV,09-Apr,100,13:00,00:30,13:30,,8,16,18,4,2.6,9.54,0.3,0.2,0.1,00094,Eros,4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 100,,NAV,09-Apr,100,13:00,00:30,13:30,,,70,8,,,0.08,0.0,0.0,0.0,00094,Eros,7x4 mosaics during above slew,done
70 m track (26.4 kb/s),43,,09-Apr,100,13:25,8:30,21:55,,,,,,,361.69,12.69,6.32,4.23,,,,
Opnav 100a KD,,NAV,09-Apr,100,22:01,0:40,22:41,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 40008, 30006",done
Daily Global 101,,NAV,10-Apr,101,02:00,00:30,02:30,,8,16,18,4,2.6,9.54,0.3,0.2,0.1,00094,Eros,4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 101,,NAV,10-Apr,101,02:00,00:30,02:30,,,140,8,,,0.16,0.0,0.0,0.0,00094,Eros,7x4 mosaics during above slew,done
Star Calibration 101,,NAV,10-Apr,101,02:35,00:12,02:47,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 101a KD,,NAV,10-Apr,101,2:55,0:28,3:23,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 30207, 30175",done
70 m track (26.4 kb/s),63,,10-Apr,101,3:50,6:20,10:10,,,,,,,17.04,0.60,0.30,0.20,,,,
Total MSI images,,,,,,,,,,3913,,,,,,,,,,,
Opnav 101b KD,,NAV,10-Apr,101,10:10,0:28,10:38,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,"2x2s pointed to a landmarks 30207, 30175",done
Star Calibration 101B,,NAV,10-Apr,101,13:30,00:30,14:00,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
RegGlobal_101,,MSI,10-Apr,101,14:10,0:50,15:00,,8,16,18,4,2.6,9.54,0.33,0.17,0.11,00101,Eros,4x4 mosaic in filter 4,done
NIS_RegGlobal_101,,MSI,10-Apr,101,14:10,0:50,15:00,,,168,4,,,0.19,0.0,0.0,0.0,00101,Eros,5x7 mosaics (5sp + 2r + 2d) calint=4,done
Opnav 101b KD,,NAV,10-Apr,101,15:00,0:28,15:28,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,"2x2s pointed to a landmarks 30207, 30175",done
Opnav 101c KD,,NAV,10-Apr,101,21:00,0:28,21:28,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,"2x2s pointed to a landmarks 30207, 30175",done
MSI_RideNLR_102A,,NLR,11-Apr,102,03:20,0:50,4:10,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00101,Eros,1 filter 4 image every 83 seconds,done
MSI_RideNLR_102B,,NLR,11-Apr,102,06:00,0:50,6:50,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00101,Eros,1 filter 4 image every 83 seconds,done
MSI_RideNLR_102C,,NLR,11-Apr,102,08:30,0:50,9:20,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00101,Eros,1 filter 4 image every 83 seconds,done
Opnav 102a KD,,NAV,11-Apr,102,10:15,0:28,10:43,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,"2x2s pointed to a landmarks 30207, 30175",done
RegGlobal_102,,MSI,11-Apr,102,11:00,0:50,11:50,,8,16,18,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,4x4 mosaic in filter 4,done
NIS_RegGlobal_102,,MSI,11-Apr,102,11:00,0:50,11:50,,,168,4,,,0.19,0.0,0.0,0.0,00101,Eros,5x7 mosaics (5sp + 2r + 2d) calint=4,done
Star Calibration 102,,NAV,11-Apr,102,12:00,00:30,12:30,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 102b KD,,NAV,11-Apr,102,14:00,0:28,14:28,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,"2x2s pointed to a landmarks 30207, 30175",done
70 m track (26.4 kb/s),43,,11-Apr,102,14:50,3:20,18:10,,,,,,,67.29,2.36,1.18,0.79,,,,
OCM 4,,,11-Apr,102,21:42,,,,,,,,,,,,,,,,
Opnav 102c KL3,,NAV,11-Apr,102,22:42,0:16,22:58,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00101,Eros,2x2 pointed to a landmark,done
34 m track (8.8 kb/s),43,,11-Apr,102,23:35,2:10,1:45,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav 103a KL3,,NAV,12-Apr,103,1:42,0:16,1:58,T,12,12,27,4,2.5,14.88,0.52,0.26,0.17,00101,Eros,2x2 pointed to a landmark,done
34 m track (8.8 kb/s),43,,12-Apr,103,4:15,3:00,7:15,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav 103b KD,,NAV,12-Apr,103,7:15,0:16,7:31,T,12,8,27,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,2x2 pointed to a landmark,done
Star Calibration 103,,NAV,12-Apr,103,12:20,00:30,12:50,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
MSI_LonScan_103A,,MSI,12-Apr,103,15:00,5:45,20:45,,8,235,18,4,2.6,140.08,4.91,2.45,1.64,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_LonScan_103A,,MSI,12-Apr,103,15:00,5:45,20:45,,,3852,3,,,4.41,0.2,0.1,0.1,00101,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Opnav 103c KD,,NAV,12-Apr,103,23:00,0:16,23:16,T,12,8,27,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,2x2 pointed to a landmark,done
MSI_LonScan_104A,,MSI,13-Apr,104,00:00,5:45,5:45,,8,235,18,4,2.6,140.08,4.91,2.45,1.64,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_LonScan_104A,,MSI,13-Apr,104,00:00,5:45,5:45,,,3852,3,,,4.41,0.2,0.1,0.1,00101,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Opnav 104a KD,,NAV,13-Apr,104,6:00,0:16,6:16,T,12,8,27,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,2x2 pointed to a landmark,done
MSI_LonScan_104B,,MSI,13-Apr,104,06:30,5:45,12:15,,8,235,18,4,2.6,140.08,4.91,2.45,1.64,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_LonScan_104B,,MSI,13-Apr,104,06:30,5:45,12:15,,,3852,3,,,4.41,0.2,0.1,0.1,00101,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Star Calibration 104,,NAV,13-Apr,104,12:30,00:30,13:00,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 104b KD,,NAV,13-Apr,104,13:55,0:16,14:11,T,12,8,27,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,13-Apr,104,14:45,7:50,22:35,,,,,,,477.92,16.77,8.35,5.59,,,,
Opnav 104c KD,,NAV,13-Apr,104,22:35,0:16,22:51,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
Star Calibration 105A,,NAV,14-Apr,105,03:35,00:30,04:05,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
RegGlobal_105,,MSI,14-Apr,105,05:00,0:50,5:50,,8,16,18,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,4x4 mosaic in filter 4,done
NIS_RegGlobal_105,,MSI,14-Apr,105,05:00,0:50,5:50,,,168,4,,,0.19,0.0,0.0,0.0,00101,Eros,5x7 mosaics (5sp + 2r + 2d) calint=4,done
