Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
Daily Global 063,,NAV,03-Mar,063,07:00,00:30,07:30,,8,16,18,4,2.5,9.92,0.3,0.2,0.1,00059,Eros,DailyGlobal_063: 4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 063,,NAV,03-Mar,063,07:00,00:30,07:30,,,140,8,,,0.16,0.0,0.0,0.0,00059,Eros,NIS_DailyGlobal_063: 4x7 mosaics during above slew,done
Star Calibration 063,,NAV,03-Mar,063,08:00,00:10,08:10,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00059,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
 Opnav 63b KL1,,NAV,03-Mar,063,10:00,00:21,10:21,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
 Opnav 63c KL1,,NAV,03-Mar,063,14:35,00:21,14:56,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
34 m track (8.8 kb/s),45,,03-Mar,063,15:00,03:45,18:45,,,,,,,42.32,1.48,0.74,0.50,,,,
Orbit Correction Maneuver 2,,,03-Mar,063,18:00,,,,,,,,,,,,,,,,
 Opnav 63d KL1,,NAV,03-Mar,063,19:00,00:21,19:21,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
34 m track (8.8 kb/s),45,,03-Mar,063,19:50,02:20,22:10,,,,,,,74.71,2.62,1.31,0.87,,,,
 Opnav 63e KL1,,NAV,03-Mar,063,22:00,00:21,22:21,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
34 m track (8.8 kb/s),45,,03-Mar,063,22:50,05:30,04:20,,,,,,,161.66,5.67,2.83,1.89,,,,
 Opnav 64a KL1,,NAV,04-Mar,064,04:10,00:21,04:31,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
 Opnav 64b KL1,,NAV,04-Mar,064,14:40,00:21,15:01,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
70m  track (26.4 kb/s),43,,04-Mar,064,15:05,05:45,20:50,,,,,,,281.01,9.86,4.92,3.29,,,,
 Opnav 64c KL1,,NAV,04-Mar,064,21:05,00:21,21:26,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
 Opnav 65a KL3,,NAV,05-Mar,065,05:00,00:21,05:21,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
Daily Global 065,,NAV,05-Mar,065,07:00,00:30,07:30,,8,16,18,4,2.5,9.92,0.3,0.2,0.1,00059,Eros,DailyGlobal_065: 4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 065,,NAV,05-Mar,065,07:00,00:30,07:30,,,140,8,,,0.16,0.0,0.0,0.0,00059,Eros,NIS_DailyGlobal_065: 4x7 mosaics during above slew,done
