 0.0098  4.8460187e+29 3.9470567e+29 3.1967603e+29
 0.0196  8.5864761e+29 7.0064484e+29 5.7044594e+29
 0.0294  4.3509954e+29 3.6081956e+29 2.9673926e+29
 0.0392  3.7091342e+29 2.4137235e+29 1.9871074e+29
 0.0490  4.3357125e+29 3.3291791e+29 4.0445476e+29
 0.0588  3.0475336e+29 1.4049895e+29 1.1734751e+29
 0.0686  3.3053131e+29 1.4389948e+29 5.4008117e+29
 0.0784  1.8405972e+29 9.8325934e+28 1.0340634e+29
 0.0882  1.3120979e+29 2.5842794e+29 1.3125277e+29
 0.0980  9.6365563e+28 1.1601877e+30 4.6551529e+29
 0.1078  9.9233086e+28 4.9452219e+29 1.5620321e+29
 0.1176  2.2995970e+29 4.4043868e+29 6.0134414e+28
 0.1274  2.5154730e+29 1.4113081e+29 4.6658512e+28
 0.1372  5.5757736e+28 8.0469040e+28 4.0535418e+28
 0.1470  4.8910450e+28 4.5697878e+28 3.5568573e+28
 0.1568  4.4645253e+28 3.6322628e+28 3.2520861e+28
 0.1666  4.3219785e+28 3.3280359e+28 2.9965587e+28
 0.1764  3.5304238e+28 3.0494155e+28 2.7727091e+28
 0.1862  4.9203306e+28 2.9292531e+28 2.5821807e+28
 0.1960  6.7362371e+28 2.8763834e+28 2.4062474e+28
 0.2058  2.8146439e+28 2.4199972e+28 2.2436199e+28
 0.2156  3.3275408e+28 2.4078035e+28 2.1089346e+28
 0.2254  4.4901843e+28 2.1821318e+28 2.0010255e+28
 0.2352  2.6566750e+28 2.0342050e+28 1.8848092e+28
 0.2450  5.2854329e+28 1.9462714e+28 1.7793278e+28
 0.2548  2.2483310e+28 1.8053835e+28 1.6826916e+28
 0.2646  2.4963557e+28 1.7278037e+28 1.5951728e+28
 0.2744  2.7674088e+28 1.9300463e+28 1.5495323e+28
 0.2842  4.8418561e+28 2.5470320e+28 1.5240814e+28
 0.2940  1.6385185e+28 1.4094799e+28 1.3692252e+28
 0.3038  3.4961885e+28 1.9652172e+28 1.3642721e+28
 0.3136  1.7752859e+28 1.2716368e+28 1.2473895e+28
 0.3234  1.3543490e+28 1.2057599e+28 1.1939060e+28
 0.3332  1.6859317e+28 1.1540049e+28 1.1396174e+28
 0.3430  1.4641924e+28 1.1053218e+28 1.0955358e+28
 0.3528  1.3315952e+28 1.0455588e+28 1.0467322e+28
 0.3626  1.1988262e+28 9.9143425e+27 1.0041501e+28
 0.3724  4.1774182e+28 2.1180816e+28 1.3703733e+28
 0.3822  2.0138299e+28 1.2317694e+28 1.0095764e+28
 0.3920  9.6722464e+27 8.5661724e+27 9.1457355e+27
 0.4018  1.5351047e+28 1.0932471e+28 8.9843428e+27
 0.4116  1.4859614e+28 1.0119637e+28 8.8775486e+27
 0.4214  8.6274502e+27 7.5699432e+27 7.9869775e+27
 0.4312  1.2060153e+28 8.7066199e+27 8.1902600e+27
 0.4410  7.4967767e+27 6.9182732e+27 7.4387141e+27
 0.4508  1.0896503e+28 6.6750401e+27 7.2153382e+27
 0.4606  9.0662355e+27 6.7364346e+27 7.0763539e+27
 0.4704  8.9725482e+27 6.2379400e+27 6.7766404e+27
 0.4802  8.0729334e+27 6.3766159e+27 6.6647338e+27
 0.4900  6.1015333e+27 5.8407572e+27 6.3691260e+27
 0.4998  1.5659391e+28 8.8584856e+27 7.3538816e+27
 0.5096  2.1420013e+28 1.0799248e+28 7.4043061e+27
 0.5194  5.1303040e+27 5.1771884e+27 5.7076434e+27
 0.5292  6.4463911e+27 5.7828837e+27 5.8434659e+27
 0.5390  6.3270838e+27 5.5075526e+27 5.5635293e+27
 0.5488  1.2089851e+28 4.6600862e+27 5.2130455e+27
 0.5586  1.5770177e+28 5.5364446e+27 5.1713188e+27
 0.5684  6.2503453e+27 4.4475933e+27 4.9356375e+27
 0.5782  2.5645285e+28 5.5181503e+27 4.8951318e+27
 0.5880  5.2075122e+27 4.9154430e+27 4.7479666e+27
 0.5978  3.9281237e+27 4.1330567e+27 4.6348921e+27
 0.6076  3.8502184e+27 5.2838055e+27 4.8578851e+27
 0.6174  2.6926022e+27 3.5917932e+27 4.2753842e+27
 0.6272  2.9060375e+27 5.0698013e+27 4.8540041e+27
