NIS Mission Phases and Subphases.                                             
                                                                              
NIS-specific mission phase and subphase are working divisions of the NIS      
observations within the NEAR mission.  NIS observations are grouped by        
a 2-character NIS Phase/Subphase ID.  The first character identifies the      
NIS phase which is defined as the NEAR mission phase, such as A = Initial     
Cruise (CRU1), or an Eros orbital phase, such as J = 200 km Orbit at Eros.    
J = 200 km orbit at Eros, etc.  The second character identifies a NIS         
subphase within the NIS phase.  NIS subphases group a set of related          
observation sequences and allow easy distinction between observations close   
in time, but with different targets, sequence parameters, or scientific       
objectives.                                                                   
                                                                              
The mission elasped time, MET, corresponds to the first spacecraft 1-Hz pulse 
after the start of the first second of integration of the first spectrum of   
the sequence, i.e., 1 second after the actual start of the integration.       
The MET is defined as number of seconds since launch at UT February 17 1996   
20:43:28.78.  See Section 6.2 of Izenberg et al. (2000) for a detailed        
explanation of relative timing of spectrum acquisition and the spacecraft     
pulse.                                                                        
                                                                              
This table is a copy of Table 2 in the NIS document, EXTRINFO.TXT, found      
on the NEAR Archive volume /NNCOLL_1001/NNCRU1_0001/extras/.                  
                                                                              
                                                                              
   NIS Phase/Subphase               DOY               MET Range               
HB - Daily Global "47" ***          00_047         126077200-126096300        
HC - Caltarget O1                   00_047         126096400-126099600        
HD - NIS Global Morph, 3x3***       00_047         126103200-126124600        
HE - Daily Global "48" ***          00_048         126204900-126206100        
HF - Daily Global "49" ***          00_049         126250000-126251100        
HG - Daily Global "50" ***          00_050         126343600-126344700        
HH - NIS Global Morph 2*            00_050         126360600-126381300        
HI - Daily Global "51" ***          00_051         126462400-126463500        
HJ - NIS Global Morph 3*            00_052         126518200-126538800        
HK - Daily Global "52" ***          00_052         126545100-126546300        
HL - Daily Global "53" ***          00_053         126664000-126665100        
HM - Daily Global "54" ***          00_054         126678400-126679500        
HN - Global Morph 4*                00_054         126708100-126727100        
HO - Daily Global "55" ***          00_055         126790900-126792000        
                                                                              
                    I -Transfer to 200 Km Orbit (300x200 km)                  
IA - Daily Global "56" ***          00_056         126865600-126866700        
IB - Multispectral Rotation 3*      00_056         126880000-126898300        
IC - Daily Global "57" ***          00_057         126970000-126971100        
ID - Global Morph 5*                00_058         127022200-127043100        
IE - Daily Global "58" ***          00_058         127065500-127066500        
IF - Caltarget O2                   00_059         127116100-127119300        
IG - Daily Global "63"              00_063         127477600-127479000        
                                                                              
                              J - 200 km Orbit                                
JA - Daily Global "65"              00_065         127650400-127651800        
JB - Daily Global "66"              00_066         127758400-127759400        
JC - NIS Polar Lat 1                00_069         128056500-128072100        
JD - NIS Polar Lon 1                00_070         128122000-128141400        
JE - NIS Feature Track 1            00_074         128413600-128423500        
JF - Caltarget O3                   00_074         128434900-128438100        
JG - NIS Feature Track 2            00_074         128500600-128510500        
JH - NIS Flyover 3*                 00_075         128512600-128529700        
JI - South Polar Lon 1              00_076         128596900-128616300        
JJ - NIS Feature Track 3            00_077         128683600-128688300        
JK - NIS Flyover 4                  00_079         128845626-128859500        
JL - South Polar Lon 2              00_080         128929700-128949100        
JM - NIS NPolar Lat 2               00_081         129019100-129035100        
JN - NIS SouthPolar_A               00_086         129446200-129525500        
JO - NIS SouthPolarLon              00_086-00_087  129525400-129541600        
JP - NIS Flyover 12                 00_088         129617200-129637100        
JQ - NIS Flyover 13                 00_088         129637600-129703100        
JR - NIS Flyover 14, N. Eq. Lon 3   00_089         129703200-129788700        
JS - NIS Feature Track 7            00_090         129788800-129807900        
JT - NIS Feature Track 8            00_090         129808600-129827700        
JU - NIS Flyover 15                 00_091         129703200-129896000        
JV - NIS Polar Lon 3                00_091         129897400-129917300        
JW - NIS Flyover 16                 00_092         129960100-129979200        
JX - NIS Flyover 17                 00_092         129981100-130000200        
JY - NIS Flyover 18                 00_093-00_094  130117900-130137900        
                                                                              
                              K - 200-100 km Transfer                         
KA - NIS Daily Global 95            00_095         130263500-130305699        
KB - NIS Equat. Periapsis           00_096         130305700-130434699        
KC - NIS Daily Global 97            00_097         130434700-130503399        
KD - NIS Daily Global 98            00_098         130503400-130586299        
KE - NIS Daily Global 99            00_099         130586300-130695999        
KF - NIS Daily Global 100           00_100         130696000-130742799        
KG - NIS Daily Global 101           00_101         130742800-130786499        
KH - NIS RegGlobal 101              00_101         130786500-130861499        
KI - NIS RegGlobal 102              00_102         130861500-130962399        
                                                                              
                              L - 100 km Orbit                                
LA - NIS LonScan 103A               00_103         130962400-130994799        
LB - NIS LonScan 104A               00_104         130994800-131017599        
LC - NIS LonScan 104B               00_104         131017600-131099099        
LD - NIS RegGlobal 105              00_105         131099100-131108099        
LE - NIS South 2x3s 105             00_105         131108100-131167499        
LF - NIS RegGlobal 106              00_106         131167500-131170499        
LG - NIS Feature 2x2 106            00_106         131170500-131221599        
LH - NIS LonScan 106A               00_106         131221600-131244999        
LI - NIS LonScan 106B               00_106         131245000-131253399        
LJ - NIS North 2x3s 107             00_107         131253400-131333999        
LK - NIS RegGlobal 107              00_107         131334000-131349000        
LL - NIS Feature 2x2 107            00_107-00_108  131335800-131657099        
LM - NIS Feature 2x2 111            00_111         131657100-131661399        
LN - NIS Lon Scan 111               00_111         131661400-131684099        
LO - NIS North 2x3s 111             00_111-00_112  131684100-131706699        
LP - NIS Lon Scan 112               00_112         131706700-131771499        
LQ - NIS Caltarget O4               00_112-00_113  131771500-131887499        
                                                                              
                              M - 100-50 km Transfer                          
MA - NIS North 2x3s 114             00_114         131887500-131951699        
MB - NIS North 2x3s 115             00_115         131951700-131975199        
MC - NIS Feature Track 115          00_115         131975200-131979300        
MD - NIS RideNLR 116                00_116         132034300-132056399        
ME - NIS North 2x3s 116A            00_116         132056400-132068099        
MF - NIS North 2x3s 116B            00_116         132068100-132117099        
MG - NIS RideNLR 117                00_116-00_117  132117100-132139899        
MH - NIS Flyover 117                00_117         132139900-132203399        
MI - NIS Feature Track 117          00_117-00_118  132203400-132207699        
MJ - NIS LowEmissMaps 118A          00_118         132207700-132213099        
MK - NIS LowEmissMaps 118B          00_118         132213100-132219099        
ML - NIS LowEmissMaps 118C          00_118         132219100-132226899        
MM - NIS RideNLR 118                00_118         132226900-132289299        
MN - NIS Feature Track 118          00_118-00_119  132289300-132313299        
MO - NIS RideNLR 119                00_119         132313300-132381599        
MP - NIS LowEmissMaps 119           00_120         132213100-132399699        
MQ - NIS RideNLR 120                00_120         132399700-132462599        
MR - NIS North 2x3s 120             00_120-00_121  132462600-132479799        
MS - NIS RideNLR 121                00_121         132479800-132548499        
MT - NIS Feature Track 121          00_121-00_122  132548500-132572499        
MU - NIS RideNLR 122                00_122         132572500-132635799        
                                                                              
                               N - Low Orbit I (50 km)                        
NA - NIS Low Orbit Week 00122       00_123-00_129  132635800-133240699        
NB - NIS Low Orbit Week 00129       00_130-00_136  133240700-133664999        
_________________________________________________                             
Notes:                                                                        
DOY is day of year: two digit year followed by Julian day.                    
MET range shows inclusive but not exact bounding times for the                
sequences in the given subphase.                                              
* Number represents MSI observation number. Ex: Light Curve "3" is the        
first NIS light curve, but the 3rd MSI light curve.                           
** RA = Ride Along with another instrument.                                   
*** Early Daily globals and MSRots have bad command sequences that cause      
lost and/or contaminated darks.                                               
