   0,   0,   0,   0,   0,   0,   0,   0
   1,   0,   0,   0,   0,   0,   0,   0
   2,   0,   0,   0,   0,   0,   0,   0
   3,   0,   0,   0,   0,   0,   0,   0
   4,   0,   0,   0,   0,   0,   0,   0
   5,   0,   0,   0,   0,   0,   0,   0
   6,   0,   0,   0,   0,   0,   0,   0
   7,   0,   0,   0,   0,   0,   0,   0
   8,   0,   0,   0,   0,   0,   0,   0
   9,   0,   0,   0,   0,   0,   0,   0
  10,   0,   0,   0,   0,   0,   0,   0
  11,   0,   0,   0,   0,   0,   0,   0
  12,   0,   0,   0,   0,   0,   0,   0
  13,   0,   0,   0,   0,   0,   0,   0
  14,   0,   0,   0,   0,   0,   0,   0
  15,   0,   0,   0,   0,   0,   0,   0
  16,   0,   0,   0,   0,   0,   0,   0
  17,   0,   0,   0,   0,   0,   0,   0
  18,   0,   0,   0,   0,   0,   0,   0
  19,   0,   0,   0,   0,   0,   0,   0
  20,   0,   0,   0,   0,   0,   0,   0
  21,   0,   0,   0,   0,   0,   0,   0
  22,   0,   0,   0,   0,   0,   0,   0
  23,   0,   0,   0,   0,   0,   0,   0
  24,   0,   0,   0,   0,   0,   0,   0
  25,   0,   0,   0,   0,   0,   0,   0
  26,   0,   0,   0,   0,   0,   0,   0
  27,   0,   0,   0,   0,   0,   0,   0
  28,   0,   0,   0,   0,   0,   0,   0
  29,   0,   0,   0,   0,   0,   0,   0
  30,   0,   0,   0,   0,   0,   0,   0
  31,   0,   0,   0,   0,   0,   0,   0
  32,   0,   0,   0,   0,   0,   0,   0
  33,   0,   0,   0,   0,   0,   0,   0
  34,   0,   0,   0,   0,   0,   0,   0
  35,   0,   0,   0,   0,   0,   0,   0
  36,   0,   0,   0,   0,   0,   0,   0
  37,   0,   0,   0,   0,   0,   0,   0
  38,   0,   0,   0,   0,   0,   0,   0
  39,   0,   0,   0,   0,   0,   0,   0
  40,   0,   0,   0,   0,   0,   0,   0
  41,   1,   1,   1,   1,   1,   0,   0
  42,   2,   2,   2,   2,   2,   0,   0
  43,   3,   3,   3,   3,   3,   0,   0
  44,   4,   4,   4,   4,   4,   0,   0
  45,   5,   5,   5,   5,   5,   0,   0
  46,   6,   6,   6,   6,   6,   0,   0
  47,   7,   7,   7,   7,   7,   0,   0
  48,   8,   8,   8,   8,   8,   0,   0
  49,   9,   9,   9,   9,   9,   0,   0
  50,  10,  10,  10,  10,  10,   0,   0
  51,  11,  11,  11,  11,  11,   0,   0
  52,  12,  12,  12,  12,  12,   0,   0
  53,  13,  13,  13,  13,  13,   0,   0
  54,  14,  14,  14,  14,  14,   0,   0
  55,  15,  15,  15,  15,  15,   0,   0
  56,  16,  16,  16,  16,  16,   1,   0
  57,  17,  17,  17,  16,  17,   1,   0
  58,  18,  18,  18,  17,  18,   1,   0
  59,  19,  19,  19,  17,  19,   1,   0
  60,  20,  20,  20,  17,  20,   1,   0
  61,  21,  21,  21,  18,  21,   1,   0
  62,  22,  22,  22,  18,  22,   1,   0
