Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,OPN_127a_KD,2000-127,00122,0132999950-0133001007,2000-127T05:08:42,2000-127T05:26:19,27,4,8,0,table5,OPN_127a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_127a_kd.gif,,
,,MSI_NLRide_127b,2000-127,00122,0133001688-0133022388,2000-127T05:37:40,2000-127T11:22:40,1,4,181,0,table6,MSI_NLRide_127b,Take images as NLR controls pointing,,msi_nlride_127b.gif,,
,,OPN_127b_KD,2000-127,00122,0133025547-0133026507,2000-127T12:15:19,2000-127T12:31:19,27,4,7,0,table5,OPN_127b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_127b_kd.gif,,
,,OPN_127c_KD,2000-127,00122,0133049870-0133050927,2000-127T19:00:42,2000-127T19:18:19,27,4,8,0,table5,OPN_127c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_127c_kd.gif,,
50 km,21.3,MSI_ParkStar_127,2000-127,00122,0133054208-0133054214,2000-127T20:13:00,2000-127T20:13:06,29,0,4,0,lossless,MSI_ParkStar_127,Take images during ParkMode for temp vs pt,,.,,
,,MSI_NLRide_127c,2000-127,00122,0133060268-0133083884,2000-127T21:54:00,2000-128T04:27:36,1,4,247,0,table6,MSI_NLRide_127c,Take images as NLR controls pointing,,msi_nlride_127c.gif,,
,,OPN_128a_KD,2000-128,00122,0133086350-0133087407,2000-128T05:08:42,2000-128T05:26:19,27,4,8,0,table5,OPN_128a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_128a_kd.gif,,
,,MSI_NLRide_128a,2000-128,00122,0133088088-0133109354,2000-128T05:37:40,2000-128T11:32:06,1,4,218,0,table6,MSI_NLRide_128a,Take images as NLR controls pointing,,msi_nlride_128a.gif,,
,,MSI_StarCal_128,2000-128,00122,0133111208-0133111214,2000-128T12:03:00,2000-128T12:03:06,29,0,4,0,lossless,MSI_StarCal_128,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_128b_KD,2000-128,00122,0133111850-0133112907,2000-128T12:13:42,2000-128T12:31:19,27,4,8,0,table5,OPN_128b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_128b_kd.gif,,
,,OPN_128c_KD,2000-128,00122,0133136270-0133137327,2000-128T19:00:42,2000-128T19:18:19,27,4,8,0,table5,OPN_128c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_128c_kd.gif,,
,,MSI_ParkStar_128,2000-128,00122,0133140608-0133140614,2000-128T20:13:00,2000-128T20:13:06,29,0,4,0,lossless,MSI_ParkStar_128,Take images during ParkMode for temp vs pt,,.,,
,,MSI_NLRide_128b,2000-128,00122,0133146668-0133170893,2000-128T21:54:00,2000-129T04:37:45,1,4,286,0,table6,MSI_NLRide_128b,Take images as NLR controls pointing,,msi_nlride_128b.gif,,
,,OPN_129a_KD,2000-129,00122,0133172750-0133173807,2000-129T05:08:42,2000-129T05:26:19,27,4,8,0,table5,OPN_129a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_129a_kd.gif,,
,,MSI_NLRide_129a,2000-129,00122,0133174488-0133195908,2000-129T05:37:40,2000-129T11:34:40,1,4,253,0,table6,MSI_NLRide_129a,Take images as NLR controls pointing,,msi_nlride_129a.gif,,
,,MSI_StarCal_129,2000-129,00122,0133197608-0133197614,2000-129T12:03:00,2000-129T12:03:06,29,0,4,0,lossless,MSI_StarCal_129,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_129b_KD,2000-129,00122,0133198250-0133199307,2000-129T12:13:42,2000-129T12:31:19,27,4,8,0,table5,OPN_129b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_129b_kd.gif,,
,,OPN_129c_KD,2000-129,00129,0133230350-0133231407,2000-129T21:08:42,2000-129T21:26:19,27,4,8,0,table5,OPN_129c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_129c_kd.gif,,
,,MSI_ParkStar_129,2000-129,00129,0133237808-0133237814,2000-129T23:13:00,2000-129T23:13:06,29,0,4,0,lossless,MSI_ParkStar_129,Take images during ParkMode for temp vs pt,,.,,
,,MSI_RideNLR_130a,2000-130,00129,0133240748-0133254609,2000-130T00:02:00,2000-130T03:53:01,1,4,168,0,table6,MSI_RideNLR_130a,Take images as NLR controls pointing,,msi_ridenlr_130a.gif,,
,,OPN_130a_KD,2000-130,00129,0133257470-0133258527,2000-130T04:40:42,2000-130T04:58:19,27,4,8,0,table5,OPN_130a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_130a_kd.gif,,
,,MSI_RideNLR_130b,2000-130,00129,0133259228-0133284211,2000-130T05:10:00,2000-130T12:06:23,1,4,302,0,table6,MSI_RideNLR_130b,Take images as NLR controls pointing,,msi_ridenlr_130b.gif,,
,,MSI_StarCal_130,2000-130,00129,0133285508-0133285514,2000-130T12:28:00,2000-130T12:28:06,29,0,4,0,lossless,MSI_StarCal_130,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_130b_KD,2000-130,00129,0133286150-0133287207,2000-130T12:38:42,2000-130T12:56:19,27,4,8,0,table5,OPN_130b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_130b_kd.gif,,
52 km,20.1,OPN_130c_KD,2000-130,00129,0133310930-0133311987,2000-130T19:31:42,2000-130T19:49:19,27,4,8,0,table5,OPN_130c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_130c_kd.gif,,
,,MSI_ParkStar_130,2000-130,00129,0133317008-0133317014,2000-130T21:13:00,2000-130T21:13:06,29,0,4,0,lossless,MSI_ParkStar_130,Take images during ParkMode for temp vs pt,,.,,
,,MSI_RideNLR_130c,2000-130,00129,0133321268-0133336696,2000-130T22:24:00,2000-131T02:41:08,1,4,117,0,table6,MSI_RideNLR_130c,Take images as NLR controls pointing,,msi_ridenlr_130c.gif,,
,,MSI_Starcal_131,2000-131,00129,0133337648-0133337654,2000-131T02:57:00,2000-131T02:57:06,29,0,4,0,lossless,MSI_Starcal_131,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_131a_KD,2000-131,00129,0133338390-0133339447,2000-131T03:09:22,2000-131T03:26:59,27,4,8,0,table5,OPN_131a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_131a_kd.gif,,
,,MSI_RideNLR_131a,2000-131,00129,0133340228-0133369089,2000-131T03:40:00,2000-131T11:41:01,1,4,210,0,table6,MSI_RideNLR_131a,Take images as NLR controls pointing,,msi_ridenlr_131a.gif,,
,,OPN_131b_KD,2000-131,00129,0133370750-0133371807,2000-131T12:08:42,2000-131T12:26:19,27,4,8,0,table5,OPN_131b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_131b_kd.gif,,
,,OPN_131c_KD,2000-131,00129,0133395530-0133396587,2000-131T19:01:42,2000-131T19:19:19,27,4,8,0,table5,OPN_131c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_131c_kd.gif,,
,,MSI_ParkStar_131,2000-131,00129,0133403408-0133403414,2000-131T21:13:00,2000-131T21:13:06,29,0,4,0,lossless,MSI_ParkStar_131,Take images during ParkMode for temp vs pt,,.,,
,,MSI_align_01,2000-131,00129,0133405930-0133405949,2000-131T21:55:02,2000-131T21:55:21,17,7,8,0,lossless,MSI_align_01,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_01.gif,,
,,MSI_RideNLR_131b,2000-131,00129,0133406468-0133415508,2000-131T22:04:00,2000-132T00:34:40,1,4,114,0,table6,MSI_RideNLR_131b,Take images as NLR controls pointing,,msi_ridenlr_131b.gif,,
,,MSI_align_02,2000-132,00129,0133416850-0133416869,2000-132T00:57:02,2000-132T00:57:21,17,7,8,0,lossless,MSI_align_02,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_02.gif,,
,,MSI_Starcal_132,2000-132,00129,0133418348-0133418354,2000-132T01:22:00,2000-132T01:22:06,29,0,4,0,lossless,MSI_Starcal_132,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_132a_KD,2000-132,00129,0133419090-0133420147,2000-132T01:34:22,2000-132T01:51:59,27,4,8,0,table5,OPN_132a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_132a_kd.gif,,
,,MSI_RideNLR_132a_1,2000-132,00129,0133420928-0133426848,2000-132T02:05:00,2000-132T03:43:40,1,4,75,0,table6,MSI_RideNLR_132a_1,Take images as NLR controls pointing,,msi_ridenlr_132a_1.gif,,
,,MSI_align_03,2000-132,00129,0133427590-0133427609,2000-132T03:56:02,2000-132T03:56:21,17,7,8,0,lossless,MSI_align_03,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_03.gif,,
,,MSI_RideNLR_132a_2,2000-132,00129,0133428128-0133437648,2000-132T04:05:00,2000-132T06:43:40,1,4,120,0,table6,MSI_RideNLR_132a_2,Take images as NLR controls pointing,,msi_ridenlr_132a_2.gif,,
,,MSI_align_04,2000-132,00129,0133438390-0133438409,2000-132T06:56:02,2000-132T06:56:21,17,7,8,0,lossless,MSI_align_04,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_04.gif,,
,,OPN_132b_KD,2000-132,00129,0133443650-0133444707,2000-132T08:23:42,2000-132T08:41:19,27,4,8,0,table5,OPN_132b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_132b_kd.gif,,
,,MSI_RideNLR_132b_1,2000-132,00129,0133446128-0133448340,2000-132T09:05:00,2000-132T09:41:52,1,4,29,0,table6,MSI_RideNLR_132b_1,Take images as NLR controls pointing,,msi_ridenlr_132b_1.gif,,
50 km,19.5,MSI_align_05,2000-132,00129,0133449190-0133449209,2000-132T09:56:02,2000-132T09:56:21,17,7,8,0,lossless,MSI_align_05,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_05.gif,,
,,MSI_RideNLR_132b_2,2000-132,00129,0133449728-0133454954,2000-132T10:05:00,2000-132T11:32:06,1,4,79,0,table6,MSI_RideNLR_132b_2,Take images as NLR controls pointing,,msi_ridenlr_132b_2.gif,,
,,OPN_132c_KD,2000-132,00129,0133456550-0133457607,2000-132T11:58:42,2000-132T12:16:19,27,4,8,0,table5,OPN_132c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_132c_kd.gif,,
,,OPN_132d_KD,2000-132,00129,0133481930-0133482987,2000-132T19:01:42,2000-132T19:19:19,27,4,8,0,table5,OPN_132d_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_132d_kd.gif,,
,,MSI_ParkStar_132,2000-132,00129,0133489808-0133489814,2000-132T21:13:00,2000-132T21:13:06,29,0,4,0,table5,MSI_ParkStar_132,Take images during ParkMode for temp vs pt,,.,,
,,MSI_align_06,2000-132,00129,0133492330-0133492349,2000-132T21:55:02,2000-132T21:55:21,17,7,8,0,lossless,MSI_align_06,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_06.gif,,
,,MSI_RideNLR_132c,2000-132,00129,0133492868-0133501792,2000-132T22:04:00,2000-133T00:32:44,1,4,93,0,table6,MSI_RideNLR_132c,Take images as NLR controls pointing,,msi_ridenlr_132c.gif,,
,,MSI_align_07,2000-133,00129,0133503190-0133503209,2000-133T00:56:02,2000-133T00:56:21,17,7,8,0,lossless,MSI_align_07,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_07.gif,,
,,OPN_133a_KD,2000-133,00129,0133504850-0133505907,2000-133T01:23:42,2000-133T01:41:19,27,4,8,0,table5,OPN_133a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_133a_kd.gif,,
,,MSI_RideNLR_133a_1,2000-133,00129,0133507328-0133512760,2000-133T02:05:00,2000-133T03:35:32,1,4,57,0,table6,MSI_RideNLR_133a_1,Take images as NLR controls pointing,,msi_ridenlr_133a_1.gif,,
,,MSI_align_08,2000-133,00129,0133513990-0133514009,2000-133T03:56:02,2000-133T03:56:21,17,7,8,0,lossless,MSI_align_08,4 images taken 1 sec apart in 2 tests with 8 Hz burst,,msi_align_08.gif,,
,,MSI_RideNLR_133a_2,2000-133,00129,0133514528-0133529175,2000-133T04:05:00,2000-133T08:09:07,1,4,152,0,table6,MSI_RideNLR_133a_2,Take images as NLR controls pointing,,msi_ridenlr_133a_2.gif,,
,,OPN_133b_DKD,2000-133,00129,0133530050-0133531052,2000-133T08:23:42,2000-133T08:40:24,27,4,8,0,table5,OPN_133b_DKD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_133b_kd.gif,,
,,MSI_RideNLR_133b,2000-133,00129,0133532528-0133542034,2000-133T09:05:00,2000-133T11:43:26,1,4,99,0,table6,MSI_RideNLR_133b,Take images as NLR controls pointing,,msi_ridenlr_133b.gif,,
,,MSI_StarCal_133,2000-133,00129,0133543148-0133543154,2000-133T12:02:00,2000-133T12:02:06,29,0,4,0,lossless,MSI_StarCal_133,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_133c_DKD,2000-133,00129,0133543790-0133544792,2000-133T12:12:42,2000-133T12:29:24,27,4,8,0,table5,OPN_133c_DKD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_133c_kd.gif,,
,,OPN_133d_KD,2000-133,00129,0133568330-0133569387,2000-133T19:01:42,2000-133T19:19:19,27,4,8,0,table5,OPN_133d_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_133d_kd.gif,,
,,MSI_ParkStar_133,2000-133,00129,0133576208-0133576214,2000-133T21:13:00,2000-133T21:13:06,29,0,4,0,lossless,MSI_ParkStar_133,Take images during ParkMode for temp vs pt,,.,,
,,MSI_RideNLR_133c,2000-133,00129,0133578368-0133589554,2000-133T21:49:00,2000-134T00:55:26,1,4,120,0,table6,MSI_RideNLR_133c,Take images as NLR controls pointing,,msi_ridenlr_133c.gif,,
,,OPN_134a_KD,2000-134,00129,0133592270-0133593327,2000-134T01:40:42,2000-134T01:58:19,27,4,8,0,table5,OPN_134a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_134a_kd.gif,,
50 km,18.8,MSI_RideNLR_134a,2000-134,00129,0133593728-0133615348,2000-134T02:05:00,2000-134T08:05:20,1,4,231,0,table6,MSI_RideNLR_134a,Take images as NLR controls pointing,,msi_ridenlr_134a.gif,,
,,OPN_134b_KD,2000-134,00129,0133616450-0133617507,2000-134T08:23:42,2000-134T08:41:19,27,4,8,0,table5,OPN_134b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_134b_kd.gif,,
,,MSI_RideNLR_134b,2000-134,00129,0133618928-0133628140,2000-134T09:05:00,2000-134T11:38:32,1,4,99,0,table6,MSI_RideNLR_134b,Take images as NLR controls pointing,,msi_ridenlr_134b.gif,,
,,MSI_StarCal_134,2000-134,00129,0133629188-0133629194,2000-134T11:56:00,2000-134T11:56:06,29,0,4,0,lossless,MSI_StarCal_134,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_134c_KD,2000-134,00129,0133629830-0133630887,2000-134T12:06:42,2000-134T12:24:19,27,4,8,0,table5,OPN_134c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_134c_kd.gif,,
,,OPN_134d_KD,2000-134,00129,0133654730-0133655787,2000-134T19:01:42,2000-134T19:19:19,27,4,8,0,table5,OPN_134d_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_134d_kd.gif,,
,,MSI_ParkStar_134,2000-134,00129,0133662608-0133662614,2000-134T21:13:00,2000-134T21:13:06,29,0,4,0,lossless,MSI_ParkStar_134,Take images during ParkMode for temp vs pt,,.,,
,,MSI_RideNLR_134c,2000-134,00129,0133664768-0133675978,2000-134T21:49:00,2000-135T00:55:50,1,4,119,0,table6,MSI_RideNLR_134c,Take images as NLR controls pointing,,msi_ridenlr_134c.gif,,
,,OPN_135a_KD,2000-135,00129,0133678670-0133679727,2000-135T01:40:42,2000-135T01:58:19,27,4,8,0,table5,OPN_135a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_135a_kd.gif,,
,,MSI_RideNLR_135a,2000-135,00129,0133680128-0133701883,2000-135T02:05:00,2000-135T08:07:35,1,4,230,0,table6,MSI_RideNLR_135a,Take images as NLR controls pointing,,msi_ridenlr_135a.gif,,
,,OPN_135b_KD,2000-135,00129,0133702850-0133703907,2000-135T08:23:42,2000-135T08:41:19,27,4,8,0,table5,OPN_135b_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_135b_kd.gif,,
,,MSI_RideNLR_135b,2000-135,00129,0133705328-0133714923,2000-135T09:05:00,2000-135T11:44:55,1,4,102,0,table6,MSI_RideNLR_135b,Take images as NLR controls pointing,,msi_ridenlr_135b.gif,,
,,MSI_StarCal_135,2000-135,00129,0133715948-0133715954,2000-135T12:02:00,2000-135T12:02:06,29,0,4,0,lossless,MSI_StarCal_135,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_135c_KD,2000-135,00129,0133716590-0133717647,2000-135T12:12:42,2000-135T12:30:19,27,4,8,0,table5,OPN_135c_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_135c_kd.gif,,
,,OPN_135d_KD,2000-135,00129,0133741130-0133742187,2000-135T19:01:42,2000-135T19:19:19,27,4,8,0,table5,OPN_135d_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_135d_kd.gif,,
,,MSI_ParkStar_135,2000-135,00129,0133749008-0133749014,2000-135T21:13:00,2000-135T21:13:06,29,0,4,0,lossless,MSI_ParkStar_135,Take images during ParkMode for temp vs pt,,.,,
,,MSI_RideNLR_135c,2000-135,00129,0133751168-0133762491,2000-135T21:49:00,2000-136T00:57:43,1,4,170,0,table6,MSI_RideNLR_135c,Take images as NLR controls pointing,,msi_ridenlr_135c.gif,,
,,MSI_Starcal_136,2000-136,00129,0133763948-0133763954,2000-136T01:22:00,2000-136T01:22:06,29,0,4,0,lossless,MSI_Starcal_136,Point 90 deg off-nadir for temp vs pointing ,,,,
,,OPN_136a_KD,2000-136,00129,0133764690-0133765747,2000-136T01:34:22,2000-136T01:51:59,27,4,8,0,table5,OPN_136a_KD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_136a_kd.gif,,
,,MSI_RideNLR_136a,2000-136,00129,0133766528-0133788303,2000-136T02:05:00,2000-136T08:07:55,1,4,326,0,table6,MSI_RideNLR_136a,Take images as NLR controls pointing,,msi_ridenlr_136a.gif,,
49 km,17.9,OPN_136b_DKD,2000-136,00129,0133789250-0133790252,2000-136T08:23:42,2000-136T08:40:24,27,4,8,0,table5,OPN_136b_DKD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_136b_kd.gif,,
,,OPN_136c_DKD,2000-136,00129,0133803350-0133804352,2000-136T12:18:42,2000-136T12:35:24,27,4,8,0,table5,OPN_136c_DKD,2 2x2 mosaics pointed to NAV landmarks,opnav.txt,opn_136c_kd.gif,,
,,OPN_136d_KF,2000-136,00136,0133835142-0133836224,2000-136T21:08:34,2000-136T21:26:36,27,4,12,0,table5,OPN_136d_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_136d_kf.gif,,
,,MSI_ParkStar_136,2000-136,00136,0133842608-0133842614,2000-136T23:13:00,2000-136T23:13:06,29,0,4,0,lossless,MSI_ParkStar_136,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ01_136a,2000-137,00136,0133845698-0133856007,2000-137T00:04:30,2000-137T02:56:19,1,4,170,0,table6,MSI_XREQ01_136a,Take images while XGRS controls pointing,,msi_xreq01_136a.gif,,
,,OPN_137a_KF,2000-137,00136,0133856732-0133857814,2000-137T03:08:24,2000-137T03:26:26,27,4,12,0,table5,OPN_137a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_137a_kf.gif,,
,,MSI_XREQ02_137a,2000-137,00136,0133858898-0133885289,2000-137T03:44:30,2000-137T11:04:20,1,4,464,0,table6,MSI_XREQ02_137a,Take images while XGRS controls pointing,,msi_xreq02_137a.gif,,
,,OPN_137b_KF,2000-137,00136,0133886012-0133887094,2000-137T11:16:23,2000-137T11:34:25,27,4,12,0,table5,OPN_137b_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_137b_kf.gif,,
,,OPN_137c_KF,2000-137,00136,0133914932-0133916014,2000-137T19:18:23,2000-137T19:36:25,27,4,12,0,table5,OPN_137c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_137c_kf.gif,,
,,MSI_ParkStar_137,2000-137,00136,0133921808-0133921814,2000-137T21:12:59,2000-137T21:13:05,29,0,4,0,lossless,MSI_ParkStar_137,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ03_137b,2000-137,00136,0133925498-0133942434,2000-137T22:14:29,2000-138T02:56:45,1,4,147,0,table6,MSI_XREQ03_137b,Take images while XGRS controls pointing,,msi_xreq03_137b.gif,,
,,OPN_138a_KF,2000-138,00136,0133943132-0133944214,2000-138T03:08:23,2000-138T03:26:25,27,4,12,0,table5,OPN_138a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_138a_kf.gif,,
,,MSI_XREQ04_138a,2000-138,00136,0133945298-0133971676,2000-138T03:44:29,2000-138T11:04:07,1,4,243,0,table6,MSI_XREQ04_138a,Take images while XGRS controls pointing,,msi_xreq04_138a.gif,,
,,OPN_138b_KF,2000-138,00136,0133971812-0133972894,2000-138T11:06:23,2000-138T11:24:25,27,4,12,0,table5,OPN_138b_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_138b_kf.gif,,
,,OPN_138c_KF,2000-138,00136,0134001332-0134002414,2000-138T19:18:23,2000-138T19:36:25,27,4,12,0,table5,OPN_138c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_138c_kf.gif,,
,,MSI_ParkStar_138,2000-138,00136,0134008208-0134008214,2000-138T21:12:59,2000-138T21:13:05,29,0,4,0,lossless,MSI_ParkStar_138,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ05_138b,2000-138,00136,0134011958-0134028572,2000-138T22:15:29,2000-139T02:52:23,1,4,232,0,table6,MSI_XREQ05_138b,Take images while XGRS controls pointing,,msi_xreq05_138b.gif,,
,,OPN_139a_KF,2000-139,00136,0134029532-0134030614,2000-139T03:08:23,2000-139T03:26:25,27,4,12,0,table5,OPN_139a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_139a_kf.gif,,
,,MSI_XREQ06_139a,2000-139,00136,0134031698-0134058194,2000-139T03:44:29,2000-139T11:06:05,1,4,385,0,table6,MSI_XREQ06_139a,Take images while XGRS controls pointing,,msi_xreq06_139a.gif,,
,,OPN_139b_KF,2000-139,00136,0134058812-0134059894,2000-139T11:16:23,2000-139T11:34:25,27,4,12,0,table5,OPN_139b_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_139b_kf.gif,,
50 km,16.6,OPN_139c_KF,2000-139,00136,0134087732-0134088814,2000-139T19:18:23,2000-139T19:36:25,27,4,12,0,table5,OPN_139c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_139c_kf.gif,,
,,MSI_ParkStar_139,2000-139,00136,0134094608-0134094614,2000-139T21:12:59,2000-139T21:13:05,29,0,4,0,lossless,MSI_ParkStar_139,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ07_139b,2000-139,00136,0134098358-0134111777,2000-139T22:15:29,2000-140T01:59:08,1,4,214,0,table6,MSI_XREQ07_139b,Take images while XGRS controls pointing,,msi_xreq07_139b.gif,,
,,OPN_140a_KF,2000-140,00136,0134115932-0134117014,2000-140T03:08:23,2000-140T03:26:25,27,4,12,0,table5,OPN_140a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_140a_kf.gif,,
,,MSI_XREQ08_140a,2000-140,00136,0134118098-0134145218,2000-140T03:44:29,2000-140T11:16:29,1,4,393,0,table6,MSI_XREQ08_140a,Take images while XGRS controls pointing,,msi_xreq08_140a.gif,,
,,OPN_140b_DKF,2000-140,00136,0134145280-0134146245,2000-140T11:17:31,2000-140T11:33:36,27,4,11,0,table5,OPN_140b_DKF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_140b_dkf.gif,,
,,OPN_140c_KF,2000-140,00136,0134174132-0134175214,2000-140T19:18:23,2000-140T19:36:25,27,4,12,0,table5,OPN_140c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_140c_kf.gif,,
,,MSI_ParkStar_140,2000-140,00136,0134181008-0134181014,2000-140T21:12:59,2000-140T21:13:05,29,0,4,0,lossless,MSI_ParkStar_140,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ09_140b,2000-140,00136,0134184758-0134201732,2000-140T22:15:29,2000-141T02:58:23,1,4,247,0,table6,MSI_XREQ09_140b,Take images while XGRS controls pointing,,msi_xreq09_140b.gif,,
,,OPN_141a_KF,2000-141,00136,0134202332-0134203414,2000-141T03:08:23,2000-141T03:26:25,27,4,12,0,table5,OPN_141a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_141a_kf.gif,,
,,MSI_XREQ10_141a,2000-141,00136,0134204498-0134230768,2000-141T03:44:29,2000-141T11:02:19,1,4,356,0,table6,MSI_XREQ10_141a,Take images while XGRS controls pointing,,msi_xreq10_141a.gif,,
,,OPN_141b_KF,2000-141,00136,0134231612-0134232694,2000-141T11:16:23,2000-141T11:34:25,27,4,12,0,table5,OPN_141b_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_141b_kf.gif,,
,,OPN_141c_KF,2000-141,00136,0134260532-0134261614,2000-141T19:18:23,2000-141T19:36:25,27,4,12,0,table5,OPN_141c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_141c_kf.gif,,
,,MSI_ParkStar_141,2000-141,00136,0134267408-0134267414,2000-141T21:12:59,2000-141T21:13:05,29,0,4,0,lossless,MSI_ParkStar_141,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ11_141b,2000-141,00136,0134271158-0134287954,2000-141T22:15:29,2000-142T02:55:25,1,4,248,0,table6,MSI_XREQ11_141b,Take images while XGRS controls pointing,,msi_xreq11_141b.gif,,
,,OPN_142a_KF,2000-142,00136,0134288732-0134289814,2000-142T03:08:23,2000-142T03:26:25,27,4,12,0,table5,OPN_142a_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_142a_kf.gif,,
,,MSI_XREQ12_142a,2000-142,00136,0134290898-0134316813,2000-142T03:44:29,2000-142T10:56:24,1,4,356,0,table6,MSI_XREQ12_142a,Take images while XGRS controls pointing,,msi_xreq12_142a.gif,,
,,OPN_142b_KF,2000-142,00136,0134318012-0134319094,2000-142T11:16:23,2000-142T11:34:25,27,4,12,0,table5,OPN_142b_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_142b_kf.gif,,
,,OPN_142c_KF,2000-142,00136,0134346932-0134348014,2000-142T19:18:23,2000-142T19:36:25,27,4,12,0,table5,OPN_142c_KF,2 2x3 mosaics pointed to NAV landmarks,opnav.txt,opn_142c_kf.gif,,
,,MSI_ParkStar_142,2000-142,00136,0134353808-0134353814,2000-142T21:12:59,2000-142T21:13:05,29,0,4,0,lossless,MSI_ParkStar_142,Take images during ParkMode for temp vs pt,,.,,
