Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,SatSrch2_contingency,1998-357,98357,0089861209-0089861977,1998-357T22:09:56,1998-357T22:22:44,27,0,64,0,lossless,SatSrch2_contingency,"Take 4x4 mosaic centered on Eros. 4 frames at each position. Clr filter, man exp 4,999,999,4 ms.",erosflyby.txt,satsrch2_contingency.gif,,,
,,Opnav_A_N1,1998-363,98361,0090310613-0090310643,1998-363T03:00:00,1998-363T03:00:30,30,0,16,0,none,Opnav_A_N1,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime_N1,1998-363,98361,0090311509-0090311538,1998-363T03:14:56,1998-363T03:15:25,"29,8,9",0,8,0,lossless,Opnav_BPrime_N1,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,Opnav_C_N1,1998-363,98361,0090312409-0090312949,1998-363T03:29:56,1998-363T03:38:56,27,6,5,0,lossless,Opnav_C_N1,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,Opnav_A_N2,1999-001,98361,0090587813-0090587843,1999-001T07:59:59,1999-001T08:00:29,30,0,16,0,none,Opnav_A_N2,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
685028 km,-35,Opnav_BPrime_N2,1999-001,98361,0090588709-0090588738,1999-001T08:14:55,1999-001T08:15:24,"29,8,9",0,8,0,lossless,Opnav_BPrime_N2,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,
,,Opnav_C_N2,1999-001,98361,0090589609-0090590149,1999-001T08:29:55,1999-001T08:38:55,27,6,5,0,lossless,Opnav_C_N2,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,Opnav_A_N3,1999-003,99002,0090813113-0090813143,1999-003T22:34:59,1999-003T22:35:29,30,0,16,0,none,Opnav_A_N3,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
,,Opnav_BPrime_N3,1999-003,99002,0090813829-0090813858,1999-003T22:46:55,1999-003T22:47:24,"29,8,9",0,8,0,lossless,Opnav_BPrime_N3,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,
,,Opnav_C_N3,1999-003,99002,0090814609-0090815149,1999-003T22:59:55,1999-003T23:08:55,27,6,5,0,lossless,Opnav_C_N3,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,Opnav_A_N4,1999-005,99002,0090907613-0090907643,1999-005T00:49:59,1999-005T00:50:29,30,0,16,0,none,Opnav_A_N4,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
,,Opnav_BPrime_N4,1999-005,99002,0090908329-0090908358,1999-005T01:01:55,1999-005T01:02:24,"29,8,9",0,8,0,lossless,Opnav_BPrime_N4,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,
,,Opnav_C_N4,1999-005,99002,0090909109-0090909649,1999-005T01:14:55,1999-005T01:23:55,27,6,5,0,lossless,Opnav_C_N4,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,Opnav_A_N5,1999-007,99002,0091081013-0091081043,1999-007T00:59:59,1999-007T01:00:29,30,0,16,0,none,Opnav_A_N5,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
,,Opnav_BPrime_N5,1999-007,99002,0091081729-0091081758,1999-007T01:11:55,1999-007T01:12:24,"29,8,9",0,8,0,lossless,Opnav_BPrime_N5,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,
,,Opnav_C_N5,1999-007,99002,0091082509-0091083049,1999-007T01:24:55,1999-007T01:33:55,27,6,5,0,lossless,Opnav_C_N5,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,OpnavCA-1,1999-019,99018,0092172714-0092173918,1999-019T16:15:00,1999-019T16:35:04,"27,30","0,1",21,0,"lossless,none",OpnavCA-1,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
952461 km,-43,OpnavCA-2,1999-020,99018,0092265414-0092266618,1999-020T18:00:00,1999-020T18:20:04,"27,30","0,1",21,0,"lossless,none",OpnavCA-2,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-3,1999-021,99018,0092292714-0092293918,1999-021T01:35:00,1999-021T01:55:04,"27,30","0,1",21,0,"lossless,none",OpnavCA-3,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-4,1999-025,99018,0092677614-0092678818,1999-025T12:29:59,1999-025T12:50:03,"27,30","0,1",21,0,"lossless,none",OpnavCA-4,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-5,1999-029,99025,0092984214-0092985418,1999-029T01:39:59,1999-029T02:00:03,"27,30","0,1",21,0,"lossless,none",OpnavCA-5,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-6,1999-032,99025,0093282714-0093283918,1999-032T12:34:59,1999-032T12:55:03,"27,30","0,1",21,0,"lossless,none",OpnavCA-6,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-7,1999-035,99032,0093501714-0093502918,1999-035T01:24:59,1999-035T01:45:03,"27,30","0,1",21,0,"lossless,none",OpnavCA-7,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-8,1999-039,99032,0093887514-0093888718,1999-039T12:34:59,1999-039T12:55:03,"27,30","0,1",21,0,"lossless,none",OpnavCA-8,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
,,OpnavCA-9,1999-042,99039,0094112515-0094113719,1999-042T03:05:00,1999-042T03:25:04,"27,30","0,1",21,0,"lossless,none",OpnavCA-9,"1x1 followed by 2x2 ,mosaics (filter 1, man exp, 999 ms).16 frames slewing across 2 pixels (clear filter, man exp, 999ms)",opnav.txt,.,,
983590 km,-53,MonoLightCurveSeq_4,1999-045,99039,0094369735-0094390679,1999-045T02:32:00,1999-045T08:21:04,26,0,57,0,,MonoLightCurveSeq_4,1 clr filter image every 7.1 deg of rotation for 1.1 Eros rot. Man exp 999 ms,lightcurves.txt,.,,
,,DarkCurrent,1999-103,99102,0099386816-0099386818,1999-103T04:10:00,1999-103T04:10:02,11,7,2,0,,DarkCurrent,Filter 7; 10 msec and 999 msec,,.,,
,,StarClusterCal_1,1999-103,99102,0099390416-0099391736,1999-103T05:10:00,1999-103T05:32:00,26,0,5,0,,StarClusterCal_1, 1x1 followed by 2x2 centered on star cluster (filter 0; 999 msec),,.,,
,,CanopusCal_1a,1999-103,99102,0099395816-0099397489,1999-103T06:40:00,1999-103T07:07:53,"13,14,15,16,17,18,19,12","0,1,2,3,4,5,6,7",127,0,,CanopusCal_1a,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 1,2,3,4,5,6,7,0; man exp)",canopuscals.txt,.,,
974714 km,-78 ,MonoLightCurveSeq_5,1999-104,99102,0099479516-0099493981,1999-104T05:55:00,1999-104T09:56:05,26,0,55,0,,MonoLightCurveSeq_5,1 clr filter image every 5 deg of rotation for 1.1 Eros rot. Man exp 999 ms.,lightcurves.txt,.,,
,,CanopusCal_1b,1999-105,99102,0099582116-0099582893,1999-105T10:25:00,1999-105T10:37:57,"13,14,15,18","1,2,3,6",62,0,,CanopusCal_1b,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 1,2,3,6; man exp)",canopuscals.txt,.,,
,,StarClusterCal_2,1999-132,99130,0101901417-0101902737,1999-132T06:40:00,1999-132T07:02:00,26,0,5,0,,StarClusterCal_2, 1x1 followed by 2x2 centered on star cluster (filter 0; 999 msec),,.,,
,,CanopusCal_1c,1999-133,99130,0101984217-0101984770,1999-133T05:40:00,1999-133T05:49:13,"19,12,18","0,6,7",48,0,,CanopusCal_1c,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 7, 0, 6,  man exp)",canopuscals.txt,.,,
,,CanopusCal_2a,1999-154,99151,0103798617-0103799394,1999-154T05:39:59,1999-154T05:52:56,"13,15,16,18","1,3,4,6",64,0,,CanopusCal_2a,"16 images through single filter of while slewing Canopus across 2 pixels, repeat (filters 1, 3, 4, 6, man exp)",canopuscals.txt,.,,
,,StarClusterCal_3,1999-166,99165,0104819217-0104820537,1999-166T01:09:59,1999-166T01:31:59,26,0,5,0,,StarClusterCal_3, 1x1 followed by 2x2 centered on star cluster (filter 0; 999 msec),,.,,
,,CanopusCal_2b,1999-166,99165,0104822817-0104824490,1999-166T02:09:59,1999-166T02:37:52,"13,14,15,16,17,18,19,12","0,1,2,3,4,5,6,7",128,0,,CanopusCal_2b,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 1,2,3,4,5,6,7,0)",canopuscals.txt,.,,
817816 km,-65,MultispctrlLtCrve_C1,1999-166,99165,0104826417-0104847269,1999-166T03:09:59,1999-166T08:57:31,20,"0,1,5",165,0,,MultispctrlLtCrve_C1,"Filters 0,1,5 every 7.3 deg. of rotation for 1.1 Eros rotations; manual 999 ms exp.",lightcurves.txt,.,,
,,SWUploadValidation_3,1999-181,99179,0106129638-0106131272,1999-181T05:10:20,1999-181T05:37:34,"21,22,23,24,25,26,27,28","0,1,2,3,4,5,6",29,0,,SWUploadValidation_3,"Various operations to test upload of new table 7, software health",,.,,
,,CanopusCal_3a,1999-197,99193,0107549218-0107550891,1999-197T15:29:59,1999-197T15:57:52,"12,13,14,15,16,17,18,19","0,1,2,3,4,5,6,7",128,0,,CanopusCal_3a,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 1,2,3,4,5,6,7,0)",canopuscals.txt,.,,
,,CanopusCal_3b,1999-197,99193,0107553118-0107554791,1999-197T16:34:59,1999-197T17:02:52,"12,13,14,15,16,17,18,19","0,1,2,3,4,5,6,7",128,0,,CanopusCal_3b,"16 images through single filter while slewing Canopus across 2 pixels, repeat (filters 1,2,3,4,5,6,7,0) - star in lower  rt corner",canopuscals.txt,.,,
,,StarClusterCal4,1999-197,99193,0107558818-0107560138,1999-197T18:09:59,1999-197T18:31:59,26,0,5,0,,StarClusterCal4, 1x1 followed by 2x2 centered on star cluster (filter 0; 999 msec),,.,,
680718 km,-43,MultispctrlLtCrv_C2,1999-197,99193,0107562418-0107583426,1999-197T19:09:59,1999-198T01:00:07,20,"0,1,5",299,0,,MultispctrlLtCrv_C2,"Filters 0,1,5 every 4 deg. of rotation for 1.1 Eros rotations; manual 999 ms exp.",lightcurves.txt,.,,
,,MSINLRCoalignPractice,1999-257,99256,0112762321-0112762624,1999-257T23:35:00,1999-257T23:40:03,17,7,12,0,,MSINLRCoalignPractice,"Groups of four 1 Hz 999-ms , 1050-nm images to detect NLR 2-sec, 8 Hz pulse",,.,,
,,NLRMSIAlignTest_1,1999-351,99347,0120856624-0120856943,1999-351T16:00:00,1999-351T16:05:19,17,7,16,0,,NLRMSIAlignTest_1,"MSI_NLR_align_test: 4 images taken 1 sec apart in 4 sets. Timed to occur before, during, and after 2 8Hz bursts",,.,,
,,Opnav_D_Test,1999-353,99347,0120972332-0120972542,1999-353T00:08:28,1999-353T00:11:58,27,0,4,0,,Opnav_D_Test,Test of CAS Opnav_D:  2x2 mosaic,opnav.txt,,,
,,Opnav_F_Test,1999-353,99347,0120973232-0120973570,1999-353T00:23:28,1999-353T00:29:06,27,0,6,0,,Opnav_F_Test,Test of CAS Opnav_F:  2x3 mosaic,opnav.txt,,,
,,Opnav_G_Test,1999-353,99347,0120974252-0120974644,1999-353T00:40:28,1999-353T00:47:00,27,0,6,0,,Opnav_G_Test,Test of CAS Opnav_G:  3x2 mosaic,opnav.txt,,,
,,Opnav_H_Test,1999-353,99347,0120975332-0120975880,1999-353T00:58:28,1999-353T01:07:36,27,0,9,0,,Opnav_H_Test,Test of CAS Opnav_H:  3x3 mosaic,opnav.txt,,,
,,Opnav_I_Test,1999-353,99347,0120976592-0120976674,1999-353T01:19:28,1999-353T01:20:50,27,0,2,0,,Opnav_I_Test,Test of CAS Opnav_I:  2x1 mosaic,opnav.txt,,,
,,Opnav_J_Test,1999-353,99347,0120977372-0120977436,1999-353T01:32:28,1999-353T01:33:32,27,0,2,0,,Opnav_J_Test,Test of CAS Opnav_J:  1x2 mosaic,opnav.txt,,,
,,Opnav_K3X2_Test,1999-353,99347,0120978164-0120978649,1999-353T01:45:40,1999-353T01:53:45,27,0,6,0,,Opnav_K3X2_Test,Test of CAS Opnav_K: 3x2 mosaic,opnav.txt,,,
,,Opnav_K2X3_Test,1999-353,99347,0120979364-0120979849,1999-353T02:05:40,1999-353T02:13:45,27,0,6,0,,Opnav_K2X3_Test,Test of CAS Opnav_K: 2x3 mosaic,opnav.txt,,,
,,Opnav_K2X2_Test,1999-353,99347,0120980564-0120980855,1999-353T02:25:40,1999-353T02:30:31,27,0,4,0,,Opnav_K2X2_Test,Test of CAS Opnav_K: 2x2 mosaic,opnav.txt,,,
86766 km,85,MultispctrlRotSeq,1999-353,99347,0121048322-0121070756,1999-353T21:14:58,1999-354T03:28:52,"18,25","0,1,2,3,4,5,6,7",820,0,,MultispctrlRotSeq,"One filter 4 image (table5+fast) every 1/2 deg of rot for 1.1 Eros rotation; afterward, 8 filters (autoexp, fast) every 10 deg for 5 iterations (50 deg of  Eros rotation). Eros=4 short pixels",approachmovies.txt,multispctrlrotseq.gif,,
47625 km,77.8,MSI_Cancal4b,2000-011,00010,0122964124-0122975275,2000-011T01:24:59,2000-011T04:30:50,"3,5,6,11,12","1,3,4,5,6",636,0,lossless,MSI_Cancal4b,"16 images slewing across 2x2 pixels, repeat at 8 positions",canopuscals.txt,msi_cancal4b.gif,,
,,MSI_Cancal4a,2000-012,00010,0123047824-0123049497,2000-012T00:39:59,2000-012T01:07:52,"3,4,5,6,11,12,23,2","0,1,2,3,4,5,6,7",128,0,lossless,MSI_Cancal4a,16 images slewing across 2x2 pixels,canopuscals.txt,msi_cancal4a.gif,,
,,MSI_Movie1,2000-012,00010,0123063425-0123083679,2000-012T05:00:00,2000-012T10:37:34,18,4,780,0,table5,MSI_Movie1,1 image every 1/2 deg for 1.1 rotations (Eros= 8 pixels),approachmovies.txt,msi_movie1.gif,,
,,MSI_SatSrchA,2000-013,00010,0123147129-0123159932,2000-013T04:15:04,2000-013T07:48:27,29,0,288,0,lossless,MSI_SatSrchA,"2x3 mosaic, 8 imgs slewing across 2x2 pixels at each position, repeat x5",satsearches.txt,msi_satsrcha.gif,,
,,MSI_MSLtCv1,2000-013,00010,0123175925-0123194659,2000-013T12:15:00,2000-013T17:27:14,25,"0,1,2,3,4,5,6,7",104,0,lossless,MSI_MSLtCv1,8 filters every 30 deg for 1 rotation (Eros = 8 short pix),approachmovies.txt,msi_msltcv1.gif,,
,,OPNAVBP_100,2000-014,00010,0123252935-0123252964,2000-014T09:38:30,2000-014T09:38:59,"29,8,9",0,8,0,lossless,OPNAVBP_100,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_100.gif,,
,,OPNAVBP_101,2000-016,00010,0123441935-0123441964,2000-016T14:08:30,2000-016T14:08:59,"29,8,9",0,8,0,lossless,OPNAVBP_101,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_101.gif,,
,,MSI_MSLtCv2,2000-018,00017,0123597125-0123615859,2000-018T09:15:00,2000-018T14:27:14,25,"0,1,2,3,4,5,6,7",104,0,lossless,MSI_MSLtCv2,8 filters every 30 deg for 1 rotation (Eros = 10 short pix),approachmovies.txt,msi_msltcv2.gif,,
,,OPNAVBP_102,2000-019,00017,0123659740-0123659769,2000-019T02:38:35,2000-019T02:39:04,"29,8,9",0,8,0,lossless,OPNAVBP_102,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_102.gif,,
