Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,Mathilde_Opnav1,1997-176,mathildeseq.txt,0042675049-0042675079,1997-176T18:54:10,1997-176T18:54:40,,0,16,0,,Mathilde_Opnav1,Optical navigation to Mathilde,,,,
,,Mathilde_Opnav2,1997-177,mathildeseq.txt,0042693949-0042693979,1997-177T00:09:10,1997-177T00:09:40,,0,16,0,,Mathilde_Opnav2,Optical navigation to Mathilde,,,,
,,Mathilde_Opnav3,1997-177,mathildeseq.txt,0042719149-0042719179,1997-177T07:09:10,1997-177T07:09:40,,0,16,0,,Mathilde_Opnav3,Optical navigation to Mathilde,,,,
,,Mathilde_Opnav4,1997-177,mathildeseq.txt,0042740749-0042740779,1997-177T13:09:10,1997-177T13:09:40,,0,16,0,,Mathilde_Opnav4,Optical navigation to Mathilde,,,,
,,Mathilde_Opnav5,1997-177,mathildeseq.txt,0042761149-0042761153,1997-177T18:49:10,1997-177T18:49:14,,0,3,0,,Mathilde_Opnav5,Optical navigation to Mathilde,,,,
,,Mathilde_Opnav6,1997-178,mathildeseq.txt,0042787549-0042787553,1997-178T02:09:10,1997-178T02:09:14,,0,3,0,,Mathilde_Opnav6,Optical navigation to Mathilde,,,,
,,MathildeHiPhase,1997-178,mathildeseq.txt,0042826048-0042826184,1997-178T12:50:40,1997-178T12:52:56,,0,24,0,,MathildeHiPhase,High phase angle imaging (one pass across error ellipse on approach),,mathilde1.gif,mathilde1a.gif,
,,MathildeHiRes1,1997-178,mathildeseq.txt,0042826252-0042826430,1997-178T12:54:04,1997-178T12:57:02,,0,90,0,,MathildeHiRes1,Closest Approach mosaic (partial coverage of error ellipse),,mathilde1.gif,mathilde1a.gif,
,,MathildeHiRes2,1997-178,mathildeseq.txt,0042826432-0042826538,1997-178T12:57:04,1997-178T12:58:50,,0,54,0,,MathildeHiRes2,Another pass across error ellipse after closest approach,,mathilde1.gif,mathilde1a.gif,
,,MathildeGlobal1,1997-178,mathildeseq.txt,0042826540-0042826598,1997-178T12:58:52,1997-178T12:59:50,,0,30,0,,MathildeGlobal1,Another pass across error ellipse after closest approach,,mathilde2.gif,mathilde2a.gif,
,,MathildeGlobal2,1997-178,mathildeseq.txt,0042826600-0042826650,1997-178T12:59:52,1997-178T13:00:42,,0,26,0,,MathildeGlobal2,Another pass across error ellipse after closest approach,,mathilde2.gif,mathilde2a.gif,
,,MathildeMultispec1,1997-178,mathildeseq.txt,0042826652-0042826858,1997-178T13:00:44,1997-178T13:04:10,,"0,1,2,3,4,5",89,0,,MathildeMultispec1,One pass across error ellipse in 6 filters,,mathilde2.gif,mathilde2a.gif,
,,MathildeMultispec2,1997-178,mathildeseq.txt,0042826862-0042826956,1997-178T13:04:14,1997-178T13:05:48,,"0,1,2,3,4,5,6,7",41,0,,MathildeMultispec2,One pass across error ellipse in 7 filters,,mathilde2.gif,mathilde2a.gif,
,,MathildeNoOpnav,1997-178,mathildeseq.txt,0042826976-0042827134,1997-178T13:06:08,1997-178T13:08:46,,0,80,0,,MathildeNoOpnav,Two passes across large uncertainty region assuming no opnavs,,mathildenoopnav.gif,,
,,MathildeSatSearch,1997-178,mathildeseq.txt,0042827188-0042827558,1997-178T13:09:40,1997-178T13:15:50,,"0,1,2,3,4,5,6,7",98,0,,MathildeSatSearch,Satellite search - two positions,,mathildesatsearch.gif,,
,,Canopus3_DrkCurr,1997-218,canopus3seq.txt,0046263701-0046263703,1997-218T07:45:00,1997-218T07:45:02,,7,2,0,,Canopus3_DrkCurr,Dark current monitoring,,,,
,,Canopus3,1997-218,canopus3seq.txt,0046264491-0046265964,1997-218T07:58:10,1997-218T08:22:43,,"0,1,2,3,4,5,6,7",30,0,,Canopus3,"Point-spread function, monitoring of radiometric responsivity",,,,
,,Canopus4_DrkCurr,1997-286,,0052138903-0052138906,1997-286T07:45:01,1997-286T07:45:04,,7,2,0,,Canopus4_DrkCurr,Dark current monitoring,,,,
,,Canopus4,1997-286,,0052139693-0052141160,1997-286T07:58:11,1997-286T08:22:38,,"0,1,2,3,4,5,6,7",30,0,,Canopus4,"Point-spread function, monitoring of radiometric responsivity",,,,
,,Canopus5_DrkCurr,1997-342,,0056977304-0056977306,1997-342T07:45:01,1997-342T07:45:03,,7,2,0,,Canopus5_DrkCurr,Dark current monitoring,,,,
,,Canopus5,1997-342,,0056978094-0056979558,1997-342T07:58:11,1997-342T08:22:35,,"0,1,2,3,4,5,6,7",30,0,,Canopus5,"Point-spread function, monitoring of radiometric responsivity",,,,
